SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/345/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.245e+00     1.897e-02  
T     =       5.121s    795485383003265.375s  

RSS   =    5.278e-03
SD    =    1.326e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.043e+00    4.277e-02
    2       2.000s     8.810e-01     8.611e-01   -1.985e-02
    3       3.000s     7.454e-01     7.117e-01   -3.370e-02
    4       4.000s     6.138e-01     5.888e-01   -2.499e-02
    5       5.000s     4.988e-01     4.877e-01   -1.108e-02
    6       6.000s     4.034e-01     4.046e-01    1.167e-03
    7       7.000s     3.265e-01     3.362e-01    9.648e-03
    8       8.000s     2.665e-01     2.799e-01    1.342e-02
    9       9.000s     2.203e-01     2.336e-01    1.326e-02
   10      10.000s     1.840e-01     1.955e-01    1.152e-02
   11      11.000s     1.544e-01     1.642e-01    9.798e-03
   12      12.000s     1.303e-01     1.384e-01    8.112e-03
   13      13.000s     1.109e-01     1.172e-01    6.376e-03
   14      14.000s     9.470e-02     9.981e-02    5.110e-03
   15      15.000s     8.109e-02     8.547e-02    4.385e-03
   16      16.000s     7.012e-02     7.367e-02    3.550e-03
   17      17.000s     6.159e-02     6.397e-02    2.377e-03
   18      18.000s     5.459e-02     5.599e-02    1.392e-03
   19      19.000s     4.862e-02     4.942e-02    7.977e-04
   20      20.000s     4.391e-02     4.402e-02    1.032e-04
   21      21.000s     4.044e-02     3.957e-02   -8.614e-04
   22      22.000s     3.745e-02     3.592e-02   -1.531e-03
   23      23.000s     3.452e-02     3.291e-02   -1.603e-03
   24      24.000s     3.209e-02     3.044e-02   -1.646e-03
   25      25.000s     3.072e-02     2.841e-02   -2.311e-03
   26      26.000s     3.027e-02     2.673e-02   -3.543e-03
   27      27.000s     3.034e-02     2.535e-02   -4.988e-03
   28      28.000s     3.092e-02     2.422e-02   -6.698e-03
   29      29.000s     3.230e-02     2.329e-02   -9.004e-03
   30      30.000s     3.450e-02     2.252e-02   -1.197e-02

============================================================

