SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/15/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 236 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.269e+00     6.414e-02  
T     =       3.604s       34.140s  

RSS   =    3.163e-03
SD    =    1.027e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.024e+00    2.398e-02
    2       2.000s     8.188e-01     7.891e-01   -2.965e-02
    3       3.000s     6.341e-01     6.108e-01   -2.324e-02
    4       4.000s     4.749e-01     4.753e-01    4.570e-04
    5       5.000s     3.570e-01     3.723e-01    1.535e-02
    6       6.000s     2.766e-01     2.939e-01    1.732e-02
    7       7.000s     2.207e-01     2.342e-01    1.347e-02
    8       8.000s     1.802e-01     1.886e-01    8.404e-03
    9       9.000s     1.514e-01     1.537e-01    2.297e-03
   10      10.000s     1.308e-01     1.270e-01   -3.760e-03
   11      11.000s     1.137e-01     1.064e-01   -7.277e-03
   12      12.000s     9.859e-02     9.056e-02   -8.033e-03
   13      13.000s     8.615e-02     7.825e-02   -7.898e-03
   14      14.000s     7.606e-02     6.864e-02   -7.416e-03
   15      15.000s     6.679e-02     6.109e-02   -5.699e-03
   16      16.000s     5.825e-02     5.511e-02   -3.141e-03
   17      17.000s     5.162e-02     5.033e-02   -1.297e-03
   18      18.000s     4.679e-02     4.645e-02   -3.411e-04
   19      19.000s     4.242e-02     4.328e-02    8.607e-04
   20      20.000s     3.827e-02     4.064e-02    2.369e-03
   21      21.000s     3.531e-02     3.841e-02    3.096e-03
   22      22.000s     3.354e-02     3.650e-02    2.960e-03
   23      23.000s     3.184e-02     3.485e-02    3.003e-03
   24      24.000s     2.999e-02     3.338e-02    3.390e-03
   25      25.000s     2.888e-02     3.207e-02    3.193e-03
   26      26.000s     2.868e-02     3.088e-02    2.198e-03
   27      27.000s     2.861e-02     2.979e-02    1.183e-03
   28      28.000s     2.851e-02     2.878e-02    2.670e-04
   29      29.000s     2.927e-02     2.784e-02   -1.430e-03
   30      30.000s     3.125e-02     2.694e-02   -4.303e-03

============================================================

