SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/111/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.218e+00     3.582e-02  
T     =       5.277s    284034735372724.625s  

RSS   =    9.370e-03
SD    =    1.767e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.044e+00    4.369e-02
    2       2.000s     8.720e-01     8.697e-01   -2.298e-03
    3       3.000s     7.584e-01     7.257e-01   -3.265e-02
    4       4.000s     6.533e-01     6.066e-01   -4.669e-02
    5       5.000s     5.432e-01     5.081e-01   -3.508e-02
    6       6.000s     4.342e-01     4.266e-01   -7.597e-03
    7       7.000s     3.440e-01     3.591e-01    1.516e-02
    8       8.000s     2.790e-01     3.033e-01    2.435e-02
    9       9.000s     2.319e-01     2.571e-01    2.525e-02
   10      10.000s     1.955e-01     2.189e-01    2.344e-02
   11      11.000s     1.681e-01     1.873e-01    1.922e-02
   12      12.000s     1.480e-01     1.612e-01    1.319e-02
   13      13.000s     1.312e-01     1.395e-01    8.302e-03
   14      14.000s     1.162e-01     1.216e-01    5.437e-03
   15      15.000s     1.040e-01     1.068e-01    2.781e-03
   16      16.000s     9.464e-02     9.456e-02   -8.678e-05
   17      17.000s     8.603e-02     8.442e-02   -1.611e-03
   18      18.000s     7.775e-02     7.603e-02   -1.723e-03
   19      19.000s     7.124e-02     6.909e-02   -2.150e-03
   20      20.000s     6.660e-02     6.335e-02   -3.252e-03
   21      21.000s     6.234e-02     5.859e-02   -3.741e-03
   22      22.000s     5.815e-02     5.466e-02   -3.484e-03
   23      23.000s     5.511e-02     5.141e-02   -3.700e-03
   24      24.000s     5.317e-02     4.872e-02   -4.454e-03
   25      25.000s     5.110e-02     4.649e-02   -4.605e-03
   26      26.000s     4.884e-02     4.465e-02   -4.184e-03
   27      27.000s     4.755e-02     4.313e-02   -4.423e-03
   28      28.000s     4.735e-02     4.187e-02   -5.482e-03
   29      29.000s     4.723e-02     4.082e-02   -6.404e-03
   30      30.000s     4.718e-02     3.996e-02   -7.214e-03

============================================================

