SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/153/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 4526 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    5.823e+01    -5.705e+01  
T     =      10.886s       10.955s  

RSS   =    1.671e-02
SD    =    2.360e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.047e+00    4.654e-02
    2       2.000s     9.084e-01     9.273e-01    1.891e-02
    3       3.000s     8.283e-01     8.209e-01   -7.391e-03
    4       4.000s     7.565e-01     7.261e-01   -3.047e-02
    5       5.000s     6.850e-01     6.415e-01   -4.343e-02
    6       6.000s     6.086e-01     5.662e-01   -4.236e-02
    7       7.000s     5.297e-01     4.992e-01   -3.057e-02
    8       8.000s     4.551e-01     4.395e-01   -1.556e-02
    9       9.000s     3.890e-01     3.865e-01   -2.535e-03
   10      10.000s     3.315e-01     3.394e-01    7.883e-03
   11      11.000s     2.813e-01     2.976e-01    1.631e-02
   12      12.000s     2.383e-01     2.605e-01    2.213e-02
   13      13.000s     2.026e-01     2.276e-01    2.497e-02
   14      14.000s     1.724e-01     1.984e-01    2.601e-02
   15      15.000s     1.463e-01     1.727e-01    2.634e-02
   16      16.000s     1.244e-01     1.499e-01    2.544e-02
   17      17.000s     1.072e-01     1.298e-01    2.261e-02
   18      18.000s     9.347e-02     1.120e-01    1.856e-02
   19      19.000s     8.203e-02     9.639e-02    1.436e-02
   20      20.000s     7.256e-02     8.264e-02    1.008e-02
   21      21.000s     6.521e-02     7.055e-02    5.345e-03
   22      22.000s     5.936e-02     5.995e-02    5.921e-04
   23      23.000s     5.423e-02     5.066e-02   -3.562e-03
   24      24.000s     4.991e-02     4.254e-02   -7.364e-03
   25      25.000s     4.693e-02     3.545e-02   -1.148e-02
   26      26.000s     4.530e-02     2.928e-02   -1.602e-02
   27      27.000s     4.467e-02     2.392e-02   -2.075e-02
   28      28.000s     4.488e-02     1.927e-02   -2.561e-02
   29      29.000s     4.572e-02     1.525e-02   -3.047e-02
   30      30.000s     4.669e-02     1.179e-02   -3.490e-02

============================================================

