SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/202/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.195e+00     4.028e-02  
T     =       5.801s    627371744944846.250s  

RSS   =    6.824e-03
SD    =    1.508e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.046e+00    4.635e-02
    2       2.000s     8.976e-01     8.871e-01   -1.058e-02
    3       3.000s     7.861e-01     7.530e-01   -3.307e-02
    4       4.000s     6.742e-01     6.401e-01   -3.403e-02
    5       5.000s     5.683e-01     5.452e-01   -2.318e-02
    6       6.000s     4.731e-01     4.652e-01   -7.915e-03
    7       7.000s     3.920e-01     3.979e-01    5.902e-03
    8       8.000s     3.267e-01     3.413e-01    1.462e-02
    9       9.000s     2.758e-01     2.936e-01    1.781e-02
   10      10.000s     2.362e-01     2.535e-01    1.737e-02
   11      11.000s     2.045e-01     2.198e-01    1.529e-02
   12      12.000s     1.789e-01     1.913e-01    1.242e-02
   13      13.000s     1.583e-01     1.674e-01    9.152e-03
   14      14.000s     1.411e-01     1.473e-01    6.212e-03
   15      15.000s     1.262e-01     1.304e-01    4.133e-03
   16      16.000s     1.134e-01     1.161e-01    2.722e-03
   17      17.000s     1.025e-01     1.041e-01    1.563e-03
   18      18.000s     9.331e-02     9.399e-02    6.815e-04
   19      19.000s     8.523e-02     8.548e-02    2.548e-04
   20      20.000s     7.831e-02     7.833e-02    1.333e-05
   21      21.000s     7.280e-02     7.230e-02   -4.934e-04
   22      22.000s     6.850e-02     6.723e-02   -1.261e-03
   23      23.000s     6.492e-02     6.297e-02   -1.954e-03
   24      24.000s     6.191e-02     5.938e-02   -2.534e-03
   25      25.000s     5.965e-02     5.635e-02   -3.296e-03
   26      26.000s     5.819e-02     5.381e-02   -4.377e-03
   27      27.000s     5.732e-02     5.167e-02   -5.650e-03
   28      28.000s     5.693e-02     4.987e-02   -7.065e-03
   29      29.000s     5.704e-02     4.835e-02   -8.694e-03
   30      30.000s     5.747e-02     4.707e-02   -1.039e-02

============================================================

