SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/89/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 318 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.256e+00     4.924e-02  
T     =       4.082s      139.382s  

RSS   =    4.507e-03
SD    =    1.226e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.032e+00    3.230e-02
    2       2.000s     8.522e-01     8.183e-01   -3.389e-02
    3       3.000s     6.812e-01     6.507e-01   -3.046e-02
    4       4.000s     5.252e-01     5.194e-01   -5.734e-03
    5       5.000s     4.044e-01     4.166e-01    1.220e-02
    6       6.000s     3.176e-01     3.361e-01    1.846e-02
    7       7.000s     2.552e-01     2.730e-01    1.775e-02
    8       8.000s     2.101e-01     2.235e-01    1.338e-02
    9       9.000s     1.777e-01     1.847e-01    7.009e-03
   10      10.000s     1.534e-01     1.543e-01    8.409e-04
   11      11.000s     1.339e-01     1.304e-01   -3.528e-03
   12      12.000s     1.179e-01     1.116e-01   -6.320e-03
   13      13.000s     1.049e-01     9.687e-02   -7.995e-03
   14      14.000s     9.340e-02     8.524e-02   -8.156e-03
   15      15.000s     8.292e-02     7.608e-02   -6.836e-03
   16      16.000s     7.403e-02     6.884e-02   -5.192e-03
   17      17.000s     6.715e-02     6.311e-02   -4.038e-03
   18      18.000s     6.151e-02     5.855e-02   -2.957e-03
   19      19.000s     5.641e-02     5.493e-02   -1.489e-03
   20      20.000s     5.206e-02     5.202e-02   -3.947e-05
   21      21.000s     4.871e-02     4.968e-02    9.718e-04
   22      22.000s     4.602e-02     4.779e-02    1.768e-03
   23      23.000s     4.373e-02     4.624e-02    2.506e-03
   24      24.000s     4.213e-02     4.496e-02    2.836e-03
   25      25.000s     4.128e-02     4.390e-02    2.625e-03
   26      26.000s     4.074e-02     4.301e-02    2.269e-03
   27      27.000s     4.034e-02     4.225e-02    1.913e-03
   28      28.000s     4.042e-02     4.160e-02    1.171e-03
   29      29.000s     4.107e-02     4.102e-02   -5.002e-05
   30      30.000s     4.180e-02     4.051e-02   -1.291e-03

============================================================

