SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/81/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 597 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    6.690e-01     4.941e-01  
T     =       4.498s       14.093s  

RSS   =    1.251e-03
SD    =    6.457e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     9.958e-01   -4.152e-03
    2       2.000s     8.637e-01     8.575e-01   -6.112e-03
    3       3.000s     7.352e-01     7.427e-01    7.446e-03
    4       4.000s     6.339e-01     6.469e-01    1.294e-02
    5       5.000s     5.583e-01     5.666e-01    8.321e-03
    6       6.000s     4.982e-01     4.990e-01    8.454e-04
    7       7.000s     4.467e-01     4.418e-01   -4.893e-03
    8       8.000s     4.015e-01     3.930e-01   -8.512e-03
    9       9.000s     3.614e-01     3.513e-01   -1.007e-02
   10      10.000s     3.246e-01     3.154e-01   -9.191e-03
   11      11.000s     2.910e-01     2.843e-01   -6.617e-03
   12      12.000s     2.611e-01     2.573e-01   -3.834e-03
   13      13.000s     2.349e-01     2.336e-01   -1.324e-03
   14      14.000s     2.114e-01     2.127e-01    1.320e-03
   15      15.000s     1.903e-01     1.943e-01    3.949e-03
   16      16.000s     1.720e-01     1.778e-01    5.825e-03
   17      17.000s     1.564e-01     1.632e-01    6.751e-03
   18      18.000s     1.429e-01     1.500e-01    7.133e-03
   19      19.000s     1.310e-01     1.381e-01    7.102e-03
   20      20.000s     1.209e-01     1.274e-01    6.483e-03
   21      21.000s     1.122e-01     1.176e-01    5.441e-03
   22      22.000s     1.044e-01     1.087e-01    4.351e-03
   23      23.000s     9.749e-02     1.006e-01    3.146e-03
   24      24.000s     9.171e-02     9.322e-02    1.502e-03
   25      25.000s     8.687e-02     8.641e-02   -4.646e-04
   26      26.000s     8.248e-02     8.015e-02   -2.330e-03
   27      27.000s     7.846e-02     7.439e-02   -4.070e-03
   28      28.000s     7.515e-02     6.908e-02   -6.068e-03
   29      29.000s     7.269e-02     6.418e-02   -8.518e-03
   30      30.000s     7.096e-02     5.964e-02   -1.132e-02

============================================================

