SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/135/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.216e+00     7.168e-03  
T     =       6.341s    127166466885706.531s  

RSS   =    1.114e-02
SD    =    1.927e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.046e+00    4.552e-02
    2       2.000s     8.878e-01     8.940e-01    6.211e-03
    3       3.000s     7.855e-01     7.646e-01   -2.089e-02
    4       4.000s     6.894e-01     6.541e-01   -3.524e-02
    5       5.000s     5.957e-01     5.597e-01   -3.602e-02
    6       6.000s     5.065e-01     4.791e-01   -2.739e-02
    7       7.000s     4.255e-01     4.103e-01   -1.526e-02
    8       8.000s     3.547e-01     3.514e-01   -3.305e-03
    9       9.000s     2.942e-01     3.012e-01    6.991e-03
   10      10.000s     2.436e-01     2.583e-01    1.475e-02
   11      11.000s     2.020e-01     2.217e-01    1.971e-02
   12      12.000s     1.680e-01     1.904e-01    2.240e-02
   13      13.000s     1.403e-01     1.636e-01    2.339e-02
   14      14.000s     1.181e-01     1.408e-01    2.270e-02
   15      15.000s     1.008e-01     1.213e-01    2.047e-02
   16      16.000s     8.721e-02     1.047e-01    1.745e-02
   17      17.000s     7.614e-02     9.044e-02    1.430e-02
   18      18.000s     6.727e-02     7.829e-02    1.102e-02
   19      19.000s     6.033e-02     6.791e-02    7.585e-03
   20      20.000s     5.467e-02     5.905e-02    4.383e-03
   21      21.000s     4.971e-02     5.148e-02    1.772e-03
   22      22.000s     4.547e-02     4.501e-02   -4.579e-04
   23      23.000s     4.215e-02     3.949e-02   -2.660e-03
   24      24.000s     3.962e-02     3.478e-02   -4.841e-03
   25      25.000s     3.772e-02     3.075e-02   -6.975e-03
   26      26.000s     3.675e-02     2.731e-02   -9.438e-03
   27      27.000s     3.704e-02     2.437e-02   -1.267e-02
   28      28.000s     3.853e-02     2.186e-02   -1.667e-02
   29      29.000s     4.083e-02     1.972e-02   -2.112e-02
   30      30.000s     4.362e-02     1.789e-02   -2.573e-02

============================================================

