SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/263/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.251e+00     2.476e-02  
T     =       5.130s    112653491911695.594s  

RSS   =    9.182e-03
SD    =    1.749e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.054e+00    5.381e-02
    2       2.000s     8.957e-01     8.715e-01   -2.415e-02
    3       3.000s     7.700e-01     7.216e-01   -4.839e-02
    4       4.000s     6.345e-01     5.982e-01   -3.631e-02
    5       5.000s     5.075e-01     4.966e-01   -1.096e-02
    6       6.000s     4.035e-01     4.130e-01    9.516e-03
    7       7.000s     3.248e-01     3.443e-01    1.944e-02
    8       8.000s     2.659e-01     2.877e-01    2.181e-02
    9       9.000s     2.209e-01     2.411e-01    2.015e-02
   10      10.000s     1.868e-01     2.028e-01    1.598e-02
   11      11.000s     1.605e-01     1.713e-01    1.074e-02
   12      12.000s     1.391e-01     1.453e-01    6.223e-03
   13      13.000s     1.209e-01     1.240e-01    3.021e-03
   14      14.000s     1.058e-01     1.064e-01    5.588e-04
   15      15.000s     9.322e-02     9.193e-02   -1.297e-03
   16      16.000s     8.216e-02     8.003e-02   -2.130e-03
   17      17.000s     7.239e-02     7.024e-02   -2.148e-03
   18      18.000s     6.431e-02     6.219e-02   -2.127e-03
   19      19.000s     5.784e-02     5.556e-02   -2.280e-03
   20      20.000s     5.231e-02     5.010e-02   -2.204e-03
   21      21.000s     4.745e-02     4.561e-02   -1.834e-03
   22      22.000s     4.346e-02     4.192e-02   -1.538e-03
   23      23.000s     4.027e-02     3.888e-02   -1.393e-03
   24      24.000s     3.759e-02     3.638e-02   -1.214e-03
   25      25.000s     3.551e-02     3.432e-02   -1.187e-03
   26      26.000s     3.437e-02     3.263e-02   -1.746e-03
   27      27.000s     3.411e-02     3.123e-02   -2.878e-03
   28      28.000s     3.430e-02     3.009e-02   -4.216e-03
   29      29.000s     3.485e-02     2.914e-02   -5.705e-03
   30      30.000s     3.590e-02     2.837e-02   -7.539e-03

============================================================

