SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/178/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 113 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.177e+00     6.335e-02  
T     =       4.782s      205.542s  

RSS   =    1.215e-03
SD    =    6.363e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.018e+00    1.788e-02
    2       2.000s     8.531e-01     8.374e-01   -1.567e-02
    3       3.000s     7.060e-01     6.909e-01   -1.513e-02
    4       4.000s     5.782e-01     5.720e-01   -6.229e-03
    5       5.000s     4.738e-01     4.755e-01    1.708e-03
    6       6.000s     3.896e-01     3.971e-01    7.510e-03
    7       7.000s     3.235e-01     3.335e-01    9.946e-03
    8       8.000s     2.735e-01     2.818e-01    8.301e-03
    9       9.000s     2.351e-01     2.398e-01    4.697e-03
   10      10.000s     2.040e-01     2.057e-01    1.698e-03
   11      11.000s     1.785e-01     1.780e-01   -4.901e-04
   12      12.000s     1.580e-01     1.554e-01   -2.554e-03
   13      13.000s     1.410e-01     1.371e-01   -3.890e-03
   14      14.000s     1.259e-01     1.222e-01   -3.735e-03
   15      15.000s     1.128e-01     1.100e-01   -2.859e-03
   16      16.000s     1.024e-01     1.001e-01   -2.379e-03
   17      17.000s     9.399e-02     9.195e-02   -2.042e-03
   18      18.000s     8.643e-02     8.532e-02   -1.110e-03
   19      19.000s     7.978e-02     7.989e-02    1.142e-04
   20      20.000s     7.448e-02     7.543e-02    9.478e-04
   21      21.000s     7.019e-02     7.176e-02    1.577e-03
   22      22.000s     6.633e-02     6.874e-02    2.407e-03
   23      23.000s     6.327e-02     6.623e-02    2.963e-03
   24      24.000s     6.152e-02     6.415e-02    2.629e-03
   25      25.000s     6.060e-02     6.240e-02    1.804e-03
   26      26.000s     5.975e-02     6.094e-02    1.187e-03
   27      27.000s     5.921e-02     5.970e-02    4.915e-04
   28      28.000s     5.971e-02     5.865e-02   -1.061e-03
   29      29.000s     6.113e-02     5.775e-02   -3.386e-03
   30      30.000s     6.261e-02     5.696e-02   -5.646e-03

============================================================

