SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/229/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.197e+00     1.268e-02  
T     =       6.062s    77321436452562.406s  

RSS   =    3.554e-03
SD    =    1.088e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.027e+00    2.739e-02
    2       2.000s     8.737e-01     8.731e-01   -6.665e-04
    3       3.000s     7.548e-01     7.422e-01   -1.255e-02
    4       4.000s     6.506e-01     6.313e-01   -1.933e-02
    5       5.000s     5.575e-01     5.372e-01   -2.026e-02
    6       6.000s     4.722e-01     4.574e-01   -1.471e-02
    7       7.000s     3.963e-01     3.898e-01   -6.520e-03
    8       8.000s     3.320e-01     3.325e-01    4.703e-04
    9       9.000s     2.781e-01     2.838e-01    5.688e-03
   10      10.000s     2.329e-01     2.426e-01    9.653e-03
   11      11.000s     1.957e-01     2.076e-01    1.189e-02
   12      12.000s     1.659e-01     1.780e-01    1.212e-02
   13      13.000s     1.415e-01     1.528e-01    1.137e-02
   14      14.000s     1.209e-01     1.315e-01    1.064e-02
   15      15.000s     1.037e-01     1.135e-01    9.795e-03
   16      16.000s     8.956e-02     9.813e-02    8.561e-03
   17      17.000s     7.784e-02     8.513e-02    7.292e-03
   18      18.000s     6.788e-02     7.411e-02    6.231e-03
   19      19.000s     5.974e-02     6.477e-02    5.029e-03
   20      20.000s     5.335e-02     5.685e-02    3.499e-03
   21      21.000s     4.813e-02     5.013e-02    2.000e-03
   22      22.000s     4.372e-02     4.443e-02    7.133e-04
   23      23.000s     4.026e-02     3.960e-02   -6.537e-04
   24      24.000s     3.770e-02     3.551e-02   -2.188e-03
   25      25.000s     3.565e-02     3.204e-02   -3.612e-03
   26      26.000s     3.412e-02     2.909e-02   -5.028e-03
   27      27.000s     3.363e-02     2.660e-02   -7.036e-03
   28      28.000s     3.436e-02     2.448e-02   -9.880e-03
   29      29.000s     3.588e-02     2.268e-02   -1.319e-02
   30      30.000s     3.787e-02     2.116e-02   -1.670e-02

============================================================

