SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/274/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.224e+00     4.067e-02  
T     =       4.962s    474170250155921.750s  

RSS   =    5.892e-03
SD    =    1.401e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.041e+00    4.148e-02
    2       2.000s     8.779e-01     8.588e-01   -1.911e-02
    3       3.000s     7.466e-01     7.095e-01   -3.714e-02
    4       4.000s     6.168e-01     5.874e-01   -2.942e-02
    5       5.000s     4.980e-01     4.876e-01   -1.033e-02
    6       6.000s     3.983e-01     4.061e-01    7.782e-03
    7       7.000s     3.213e-01     3.394e-01    1.807e-02
    8       8.000s     2.646e-01     2.849e-01    2.030e-02
    9       9.000s     2.226e-01     2.403e-01    1.766e-02
   10      10.000s     1.908e-01     2.039e-01    1.307e-02
   11      11.000s     1.659e-01     1.741e-01    8.159e-03
   12      12.000s     1.458e-01     1.497e-01    3.878e-03
   13      13.000s     1.291e-01     1.298e-01    7.570e-04
   14      14.000s     1.147e-01     1.135e-01   -1.147e-03
   15      15.000s     1.023e-01     1.002e-01   -2.100e-03
   16      16.000s     9.184e-02     8.937e-02   -2.469e-03
   17      17.000s     8.309e-02     8.048e-02   -2.603e-03
   18      18.000s     7.588e-02     7.322e-02   -2.667e-03
   19      19.000s     6.983e-02     6.727e-02   -2.559e-03
   20      20.000s     6.459e-02     6.242e-02   -2.170e-03
   21      21.000s     6.011e-02     5.845e-02   -1.663e-03
   22      22.000s     5.649e-02     5.520e-02   -1.290e-03
   23      23.000s     5.361e-02     5.255e-02   -1.059e-03
   24      24.000s     5.125e-02     5.038e-02   -8.641e-04
   25      25.000s     4.942e-02     4.861e-02   -8.081e-04
   26      26.000s     4.826e-02     4.716e-02   -1.101e-03
   27      27.000s     4.770e-02     4.597e-02   -1.730e-03
   28      28.000s     4.754e-02     4.501e-02   -2.530e-03
   29      29.000s     4.773e-02     4.421e-02   -3.521e-03
   30      30.000s     4.842e-02     4.357e-02   -4.857e-03

============================================================

