SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/230/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 138 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.271e+00     3.580e-02  
T     =       4.069s      184.928s  

RSS   =    4.156e-03
SD    =    1.177e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.029e+00    2.930e-02
    2       2.000s     8.397e-01     8.126e-01   -2.706e-02
    3       3.000s     6.739e-01     6.431e-01   -3.085e-02
    4       4.000s     5.212e-01     5.104e-01   -1.075e-02
    5       5.000s     3.962e-01     4.067e-01    1.046e-02
    6       6.000s     3.051e-01     3.255e-01    2.041e-02
    7       7.000s     2.427e-01     2.619e-01    1.925e-02
    8       8.000s     1.987e-01     2.122e-01    1.345e-02
    9       9.000s     1.659e-01     1.732e-01    7.327e-03
   10      10.000s     1.413e-01     1.427e-01    1.429e-03
   11      11.000s     1.227e-01     1.188e-01   -3.850e-03
   12      12.000s     1.072e-01     1.001e-01   -7.077e-03
   13      13.000s     9.337e-02     8.543e-02   -7.945e-03
   14      14.000s     8.167e-02     7.390e-02   -7.764e-03
   15      15.000s     7.220e-02     6.485e-02   -7.344e-03
   16      16.000s     6.398e-02     5.774e-02   -6.244e-03
   17      17.000s     5.648e-02     5.213e-02   -4.346e-03
   18      18.000s     5.018e-02     4.771e-02   -2.466e-03
   19      19.000s     4.530e-02     4.422e-02   -1.082e-03
   20      20.000s     4.126e-02     4.145e-02    1.874e-04
   21      21.000s     3.775e-02     3.925e-02    1.494e-03
   22      22.000s     3.512e-02     3.748e-02    2.361e-03
   23      23.000s     3.343e-02     3.607e-02    2.642e-03
   24      24.000s     3.209e-02     3.493e-02    2.838e-03
   25      25.000s     3.086e-02     3.400e-02    3.143e-03
   26      26.000s     3.017e-02     3.324e-02    3.067e-03
   27      27.000s     3.034e-02     3.260e-02    2.269e-03
   28      28.000s     3.112e-02     3.207e-02    9.509e-04
   29      29.000s     3.239e-02     3.162e-02   -7.619e-04
   30      30.000s     3.430e-02     3.124e-02   -3.063e-03

============================================================

