SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/61/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 5847 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    8.065e+01    -7.947e+01  
T     =       9.753s        9.785s  

RSS   =    1.150e-02
SD    =    1.958e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.041e+00    4.068e-02
    2       2.000s     9.077e-01     9.180e-01    1.031e-02
    3       3.000s     8.214e-01     8.094e-01   -1.200e-02
    4       4.000s     7.400e-01     7.132e-01   -2.682e-02
    5       5.000s     6.608e-01     6.280e-01   -3.274e-02
    6       6.000s     5.828e-01     5.527e-01   -3.008e-02
    7       7.000s     5.080e-01     4.861e-01   -2.191e-02
    8       8.000s     4.391e-01     4.272e-01   -1.191e-02
    9       9.000s     3.770e-01     3.752e-01   -1.882e-03
   10      10.000s     3.215e-01     3.292e-01    7.759e-03
   11      11.000s     2.726e-01     2.887e-01    1.610e-02
   12      12.000s     2.311e-01     2.529e-01    2.175e-02
   13      13.000s     1.971e-01     2.213e-01    2.424e-02
   14      14.000s     1.692e-01     1.935e-01    2.435e-02
   15      15.000s     1.462e-01     1.690e-01    2.285e-02
   16      16.000s     1.274e-01     1.475e-01    2.006e-02
   17      17.000s     1.121e-01     1.285e-01    1.643e-02
   18      18.000s     9.915e-02     1.118e-01    1.269e-02
   19      19.000s     8.803e-02     9.721e-02    9.172e-03
   20      20.000s     7.872e-02     8.436e-02    5.634e-03
   21      21.000s     7.115e-02     7.309e-02    1.937e-03
   22      22.000s     6.491e-02     6.321e-02   -1.697e-03
   23      23.000s     5.968e-02     5.456e-02   -5.118e-03
   24      24.000s     5.545e-02     4.700e-02   -8.450e-03
   25      25.000s     5.217e-02     4.040e-02   -1.177e-02
   26      26.000s     4.966e-02     3.463e-02   -1.503e-02
   27      27.000s     4.791e-02     2.960e-02   -1.831e-02
   28      28.000s     4.707e-02     2.523e-02   -2.184e-02
   29      29.000s     4.713e-02     2.142e-02   -2.571e-02
   30      30.000s     4.793e-02     1.812e-02   -2.982e-02

============================================================

