SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/119/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 7034 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.483e+02    -1.471e+02  
T     =       9.794s        9.816s  

RSS   =    3.306e-02
SD    =    3.320e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.078e+00    7.776e-02
    2       2.000s     9.258e-01     9.461e-01    2.028e-02
    3       3.000s     8.604e-01     8.298e-01   -3.063e-02
    4       4.000s     7.896e-01     7.272e-01   -6.245e-02
    5       5.000s     7.050e-01     6.367e-01   -6.829e-02
    6       6.000s     6.102e-01     5.569e-01   -5.331e-02
    7       7.000s     5.151e-01     4.866e-01   -2.850e-02
    8       8.000s     4.281e-01     4.246e-01   -3.491e-03
    9       9.000s     3.540e-01     3.702e-01    1.619e-02
   10      10.000s     2.933e-01     3.223e-01    2.895e-02
   11      11.000s     2.444e-01     2.802e-01    3.579e-02
   12      12.000s     2.049e-01     2.432e-01    3.825e-02
   13      13.000s     1.735e-01     2.108e-01    3.724e-02
   14      14.000s     1.487e-01     1.823e-01    3.367e-02
   15      15.000s     1.286e-01     1.574e-01    2.886e-02
   16      16.000s     1.118e-01     1.357e-01    2.382e-02
   17      17.000s     9.806e-02     1.166e-01    1.856e-02
   18      18.000s     8.706e-02     9.999e-02    1.294e-02
   19      19.000s     7.807e-02     8.550e-02    7.431e-03
   20      20.000s     7.037e-02     7.287e-02    2.506e-03
   21      21.000s     6.391e-02     6.189e-02   -2.014e-03
   22      22.000s     5.876e-02     5.236e-02   -6.404e-03
   23      23.000s     5.451e-02     4.409e-02   -1.042e-02
   24      24.000s     5.077e-02     3.693e-02   -1.383e-02
   25      25.000s     4.779e-02     3.075e-02   -1.704e-02
   26      26.000s     4.607e-02     2.542e-02   -2.066e-02
   27      27.000s     4.563e-02     2.083e-02   -2.480e-02
   28      28.000s     4.608e-02     1.689e-02   -2.919e-02
   29      29.000s     4.713e-02     1.352e-02   -3.360e-02
   30      30.000s     4.857e-02     1.065e-02   -3.792e-02

============================================================

