SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/246/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.366e+02    -1.354e+02  
T     =      12.157s       12.185s  

RSS   =    6.827e-03
SD    =    1.508e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.016e+00    1.639e-02
    2       2.000s     9.006e-01     9.143e-01    1.376e-02
    3       3.000s     8.159e-01     8.221e-01    6.180e-03
    4       4.000s     7.439e-01     7.386e-01   -5.237e-03
    5       5.000s     6.784e-01     6.633e-01   -1.509e-02
    6       6.000s     6.165e-01     5.952e-01   -2.132e-02
    7       7.000s     5.576e-01     5.337e-01   -2.390e-02
    8       8.000s     5.003e-01     4.783e-01   -2.204e-02
    9       9.000s     4.440e-01     4.282e-01   -1.573e-02
   10      10.000s     3.904e-01     3.831e-01   -7.298e-03
   11      11.000s     3.417e-01     3.425e-01    7.573e-04
   12      12.000s     2.980e-01     3.058e-01    7.862e-03
   13      13.000s     2.589e-01     2.728e-01    1.397e-02
   14      14.000s     2.251e-01     2.431e-01    1.807e-02
   15      15.000s     1.970e-01     2.164e-01    1.944e-02
   16      16.000s     1.734e-01     1.924e-01    1.903e-02
   17      17.000s     1.528e-01     1.709e-01    1.808e-02
   18      18.000s     1.350e-01     1.515e-01    1.652e-02
   19      19.000s     1.202e-01     1.342e-01    1.394e-02
   20      20.000s     1.077e-01     1.186e-01    1.086e-02
   21      21.000s     9.665e-02     1.046e-01    7.992e-03
   22      22.000s     8.699e-02     9.216e-02    5.165e-03
   23      23.000s     7.908e-02     8.099e-02    1.913e-03
   24      24.000s     7.256e-02     7.101e-02   -1.545e-03
   25      25.000s     6.696e-02     6.210e-02   -4.855e-03
   26      26.000s     6.254e-02     5.416e-02   -8.378e-03
   27      27.000s     5.979e-02     4.708e-02   -1.271e-02
   28      28.000s     5.859e-02     4.078e-02   -1.781e-02
   29      29.000s     5.842e-02     3.518e-02   -2.324e-02
   30      30.000s     5.882e-02     3.021e-02   -2.861e-02

============================================================

