SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/284/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.243e+00     2.014e-02  
T     =       5.283s    520591000477733.438s  

RSS   =    7.759e-03
SD    =    1.608e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.049e+00    4.904e-02
    2       2.000s     8.863e-01     8.716e-01   -1.472e-02
    3       3.000s     7.632e-01     7.248e-01   -3.837e-02
    4       4.000s     6.382e-01     6.033e-01   -3.494e-02
    5       5.000s     5.220e-01     5.027e-01   -1.926e-02
    6       6.000s     4.230e-01     4.195e-01   -3.534e-03
    7       7.000s     3.431e-01     3.506e-01    7.520e-03
    8       8.000s     2.792e-01     2.936e-01    1.446e-02
    9       9.000s     2.285e-01     2.465e-01    1.798e-02
   10      10.000s     1.894e-01     2.074e-01    1.802e-02
   11      11.000s     1.595e-01     1.751e-01    1.569e-02
   12      12.000s     1.355e-01     1.484e-01    1.295e-02
   13      13.000s     1.158e-01     1.263e-01    1.053e-02
   14      14.000s     9.997e-02     1.080e-01    8.018e-03
   15      15.000s     8.731e-02     9.284e-02    5.535e-03
   16      16.000s     7.658e-02     8.031e-02    3.722e-03
   17      17.000s     6.742e-02     6.993e-02    2.513e-03
   18      18.000s     6.000e-02     6.135e-02    1.343e-03
   19      19.000s     5.397e-02     5.424e-02    2.754e-04
   20      20.000s     4.863e-02     4.836e-02   -2.739e-04
   21      21.000s     4.407e-02     4.349e-02   -5.775e-04
   22      22.000s     4.073e-02     3.947e-02   -1.261e-03
   23      23.000s     3.837e-02     3.614e-02   -2.238e-03
   24      24.000s     3.638e-02     3.338e-02   -3.004e-03
   25      25.000s     3.478e-02     3.110e-02   -3.687e-03
   26      26.000s     3.406e-02     2.921e-02   -4.858e-03
   27      27.000s     3.424e-02     2.764e-02   -6.595e-03
   28      28.000s     3.499e-02     2.635e-02   -8.642e-03
   29      29.000s     3.646e-02     2.528e-02   -1.118e-02
   30      30.000s     3.886e-02     2.439e-02   -1.446e-02

============================================================

