SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/238/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 186 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.950e+00    -7.035e-01  
T     =       4.643s        4.643s  

RSS   =    1.769e-02
SD    =    2.428e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.005e+00    5.059e-03
    2       2.000s     8.456e-01     8.103e-01   -3.533e-02
    3       3.000s     6.699e-01     6.533e-01   -1.662e-02
    4       4.000s     5.131e-01     5.267e-01    1.364e-02
    5       5.000s     3.940e-01     4.246e-01    3.066e-02
    6       6.000s     3.086e-01     3.424e-01    3.377e-02
    7       7.000s     2.465e-01     2.760e-01    2.956e-02
    8       8.000s     2.016e-01     2.225e-01    2.099e-02
    9       9.000s     1.698e-01     1.794e-01    9.655e-03
   10      10.000s     1.458e-01     1.447e-01   -1.189e-03
   11      11.000s     1.259e-01     1.166e-01   -9.250e-03
   12      12.000s     1.092e-01     9.403e-02   -1.515e-02
   13      13.000s     9.573e-02     7.581e-02   -1.992e-02
   14      14.000s     8.425e-02     6.112e-02   -2.314e-02
   15      15.000s     7.382e-02     4.928e-02   -2.454e-02
   16      16.000s     6.498e-02     3.973e-02   -2.525e-02
   17      17.000s     5.813e-02     3.203e-02   -2.610e-02
   18      18.000s     5.243e-02     2.582e-02   -2.660e-02
   19      19.000s     4.716e-02     2.082e-02   -2.634e-02
   20      20.000s     4.269e-02     1.679e-02   -2.590e-02
   21      21.000s     3.931e-02     1.353e-02   -2.577e-02
   22      22.000s     3.653e-02     1.091e-02   -2.562e-02
   23      23.000s     3.406e-02     8.796e-03   -2.527e-02
   24      24.000s     3.234e-02     7.092e-03   -2.525e-02
   25      25.000s     3.148e-02     5.718e-03   -2.577e-02
   26      26.000s     3.092e-02     4.610e-03   -2.631e-02
   27      27.000s     3.042e-02     3.717e-03   -2.670e-02
   28      28.000s     3.048e-02     2.996e-03   -2.749e-02
   29      29.000s     3.145e-02     2.416e-03   -2.904e-02
   30      30.000s     3.297e-02     1.948e-03   -3.102e-02

============================================================

