SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/215/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.190e+00     2.339e-02  
T     =       5.587s    334326463940535.875s  

RSS   =    8.796e-04
SD    =    5.415e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.019e+00    1.873e-02
    2       2.000s     8.654e-01     8.556e-01   -9.835e-03
    3       3.000s     7.327e-01     7.192e-01   -1.354e-02
    4       4.000s     6.139e-01     6.052e-01   -8.760e-03
    5       5.000s     5.128e-01     5.098e-01   -2.955e-03
    6       6.000s     4.296e-01     4.301e-01    5.085e-04
    7       7.000s     3.617e-01     3.634e-01    1.763e-03
    8       8.000s     3.050e-01     3.077e-01    2.690e-03
    9       9.000s     2.572e-01     2.611e-01    3.925e-03
   10      10.000s     2.176e-01     2.222e-01    4.580e-03
   11      11.000s     1.853e-01     1.896e-01    4.291e-03
   12      12.000s     1.586e-01     1.623e-01    3.740e-03
   13      13.000s     1.362e-01     1.396e-01    3.319e-03
   14      14.000s     1.178e-01     1.205e-01    2.743e-03
   15      15.000s     1.026e-01     1.046e-01    1.985e-03
   16      16.000s     8.988e-02     9.130e-02    1.419e-03
   17      17.000s     7.913e-02     8.017e-02    1.039e-03
   18      18.000s     7.036e-02     7.086e-02    5.049e-04
   19      19.000s     6.315e-02     6.308e-02   -7.111e-05
   20      20.000s     5.683e-02     5.658e-02   -2.518e-04
   21      21.000s     5.125e-02     5.114e-02   -1.121e-04
   22      22.000s     4.674e-02     4.659e-02   -1.472e-04
   23      23.000s     4.320e-02     4.279e-02   -4.120e-04
   24      24.000s     4.013e-02     3.961e-02   -5.212e-04
   25      25.000s     3.742e-02     3.695e-02   -4.680e-04
   26      26.000s     3.543e-02     3.473e-02   -7.034e-04
   27      27.000s     3.428e-02     3.287e-02   -1.406e-03
   28      28.000s     3.369e-02     3.132e-02   -2.377e-03
   29      29.000s     3.373e-02     3.002e-02   -3.717e-03
   30      30.000s     3.489e-02     2.893e-02   -5.956e-03

============================================================

