SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/53/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.113e+00     3.343e-02  
T     =       7.215s    334947107491328.250s  

RSS   =    2.430e-04
SD    =    2.846e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.002e+00    2.472e-03
    2       2.000s     8.811e-01     8.770e-01   -4.094e-03
    3       3.000s     7.684e-01     7.679e-01   -5.562e-04
    4       4.000s     6.705e-01     6.728e-01    2.306e-03
    5       5.000s     5.864e-01     5.900e-01    3.691e-03
    6       6.000s     5.154e-01     5.180e-01    2.602e-03
    7       7.000s     4.562e-01     4.553e-01   -9.121e-04
    8       8.000s     4.045e-01     4.007e-01   -3.779e-03
    9       9.000s     3.571e-01     3.531e-01   -3.907e-03
   10      10.000s     3.146e-01     3.118e-01   -2.877e-03
   11      11.000s     2.783e-01     2.757e-01   -2.604e-03
   12      12.000s     2.468e-01     2.444e-01   -2.393e-03
   13      13.000s     2.182e-01     2.171e-01   -1.088e-03
   14      14.000s     1.928e-01     1.933e-01    5.393e-04
   15      15.000s     1.712e-01     1.726e-01    1.381e-03
   16      16.000s     1.527e-01     1.546e-01    1.910e-03
   17      17.000s     1.361e-01     1.389e-01    2.865e-03
   18      18.000s     1.216e-01     1.253e-01    3.666e-03
   19      19.000s     1.098e-01     1.134e-01    3.589e-03
   20      20.000s     9.987e-02     1.030e-01    3.162e-03
   21      21.000s     9.091e-02     9.402e-02    3.111e-03
   22      22.000s     8.313e-02     8.618e-02    3.042e-03
   23      23.000s     7.704e-02     7.935e-02    2.308e-03
   24      24.000s     7.222e-02     7.341e-02    1.186e-03
   25      25.000s     6.800e-02     6.823e-02    2.359e-04
   26      26.000s     6.442e-02     6.373e-02   -6.918e-04
   27      27.000s     6.173e-02     5.980e-02   -1.924e-03
   28      28.000s     5.961e-02     5.639e-02   -3.223e-03
   29      29.000s     5.776e-02     5.342e-02   -4.344e-03
   30      30.000s     5.650e-02     5.083e-02   -5.674e-03

============================================================

