SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/147/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    2.350e+02    -2.338e+02  
T     =       9.139s        9.152s  

RSS   =    1.628e-02
SD    =    2.330e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.047e+00    4.672e-02
    2       2.000s     8.959e-01     9.102e-01    1.433e-02
    3       3.000s     8.054e-01     7.908e-01   -1.463e-02
    4       4.000s     7.230e-01     6.864e-01   -3.661e-02
    5       5.000s     6.403e-01     5.951e-01   -4.524e-02
    6       6.000s     5.553e-01     5.153e-01   -4.001e-02
    7       7.000s     4.709e-01     4.457e-01   -2.525e-02
    8       8.000s     3.920e-01     3.850e-01   -7.000e-03
    9       9.000s     3.228e-01     3.320e-01    9.266e-03
   10      10.000s     2.654e-01     2.859e-01    2.057e-02
   11      11.000s     2.189e-01     2.458e-01    2.698e-02
   12      12.000s     1.812e-01     2.110e-01    2.973e-02
   13      13.000s     1.513e-01     1.807e-01    2.939e-02
   14      14.000s     1.280e-01     1.544e-01    2.644e-02
   15      15.000s     1.095e-01     1.317e-01    2.215e-02
   16      16.000s     9.413e-02     1.119e-01    1.782e-02
   17      17.000s     8.122e-02     9.491e-02    1.369e-02
   18      18.000s     7.079e-02     8.020e-02    9.416e-03
   19      19.000s     6.243e-02     6.752e-02    5.097e-03
   20      20.000s     5.551e-02     5.661e-02    1.102e-03
   21      21.000s     4.975e-02     4.723e-02   -2.520e-03
   22      22.000s     4.503e-02     3.919e-02   -5.843e-03
   23      23.000s     4.104e-02     3.231e-02   -8.735e-03
   24      24.000s     3.766e-02     2.643e-02   -1.124e-02
   25      25.000s     3.521e-02     2.142e-02   -1.378e-02
   26      26.000s     3.383e-02     1.717e-02   -1.666e-02
   27      27.000s     3.325e-02     1.357e-02   -1.968e-02
   28      28.000s     3.326e-02     1.053e-02   -2.274e-02
   29      29.000s     3.415e-02     7.972e-03   -2.618e-02
   30      30.000s     3.604e-02     5.833e-03   -3.021e-02

============================================================

