SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/85/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.249e+00     2.190e-02  
T     =       4.960s    212060024876208.156s  

RSS   =    5.694e-03
SD    =    1.378e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.043e+00    4.311e-02
    2       2.000s     8.819e-01     8.567e-01   -2.526e-02
    3       3.000s     7.433e-01     7.043e-01   -3.909e-02
    4       4.000s     6.030e-01     5.797e-01   -2.331e-02
    5       5.000s     4.807e-01     4.778e-01   -2.887e-03
    6       6.000s     3.844e-01     3.946e-01    1.024e-02
    7       7.000s     3.106e-01     3.265e-01    1.599e-02
    8       8.000s     2.539e-01     2.709e-01    1.699e-02
    9       9.000s     2.110e-01     2.255e-01    1.444e-02
   10      10.000s     1.784e-01     1.883e-01    9.915e-03
   11      11.000s     1.522e-01     1.579e-01    5.681e-03
   12      12.000s     1.305e-01     1.331e-01    2.611e-03
   13      13.000s     1.126e-01     1.128e-01    1.349e-04
   14      14.000s     9.794e-02     9.619e-02   -1.752e-03
   15      15.000s     8.496e-02     8.263e-02   -2.332e-03
   16      16.000s     7.335e-02     7.154e-02   -1.807e-03
   17      17.000s     6.377e-02     6.248e-02   -1.294e-03
   18      18.000s     5.621e-02     5.507e-02   -1.139e-03
   19      19.000s     4.973e-02     4.901e-02   -7.133e-04
   20      20.000s     4.395e-02     4.406e-02    1.138e-04
   21      21.000s     3.937e-02     4.002e-02    6.466e-04
   22      22.000s     3.614e-02     3.671e-02    5.686e-04
   23      23.000s     3.371e-02     3.400e-02    2.934e-04
   24      24.000s     3.178e-02     3.179e-02    1.437e-05
   25      25.000s     3.057e-02     2.999e-02   -5.771e-04
   26      26.000s     3.005e-02     2.851e-02   -1.539e-03
   27      27.000s     2.987e-02     2.730e-02   -2.563e-03
   28      28.000s     3.001e-02     2.632e-02   -3.694e-03
   29      29.000s     3.085e-02     2.551e-02   -5.335e-03
   30      30.000s     3.231e-02     2.485e-02   -7.457e-03

============================================================

