SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/223/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 131 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.207e+00     5.099e-02  
T     =       4.994s      182.600s  

RSS   =    4.639e-03
SD    =    1.244e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.039e+00    3.904e-02
    2       2.000s     8.829e-01     8.594e-01   -2.344e-02
    3       3.000s     7.476e-01     7.123e-01   -3.525e-02
    4       4.000s     6.129e-01     5.919e-01   -2.094e-02
    5       5.000s     4.954e-01     4.933e-01   -2.097e-03
    6       6.000s     4.023e-01     4.125e-01    1.026e-02
    7       7.000s     3.314e-01     3.463e-01    1.499e-02
    8       8.000s     2.772e-01     2.921e-01    1.489e-02
    9       9.000s     2.354e-01     2.477e-01    1.229e-02
   10      10.000s     2.027e-01     2.113e-01    8.576e-03
   11      11.000s     1.766e-01     1.815e-01    4.897e-03
   12      12.000s     1.549e-01     1.570e-01    2.061e-03
   13      13.000s     1.367e-01     1.369e-01    1.952e-04
   14      14.000s     1.214e-01     1.204e-01   -9.699e-04
   15      15.000s     1.085e-01     1.069e-01   -1.661e-03
   16      16.000s     9.772e-02     9.575e-02   -1.972e-03
   17      17.000s     8.852e-02     8.660e-02   -1.926e-03
   18      18.000s     8.058e-02     7.906e-02   -1.519e-03
   19      19.000s     7.374e-02     7.285e-02   -8.916e-04
   20      20.000s     6.814e-02     6.772e-02   -4.196e-04
   21      21.000s     6.387e-02     6.347e-02   -3.941e-04
   22      22.000s     6.060e-02     5.995e-02   -6.483e-04
   23      23.000s     5.779e-02     5.703e-02   -7.579e-04
   24      24.000s     5.520e-02     5.460e-02   -6.022e-04
   25      25.000s     5.304e-02     5.256e-02   -4.799e-04
   26      26.000s     5.156e-02     5.085e-02   -7.097e-04
   27      27.000s     5.080e-02     4.940e-02   -1.393e-03
   28      28.000s     5.072e-02     4.818e-02   -2.540e-03
   29      29.000s     5.125e-02     4.714e-02   -4.114e-03
   30      30.000s     5.212e-02     4.624e-02   -5.882e-03

============================================================

