SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/2/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 417 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.239e+00     5.667e-02  
T     =       3.960s       50.578s  

RSS   =    1.791e-03
SD    =    7.727e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.018e+00    1.816e-02
    2       2.000s     8.222e-01     8.022e-01   -1.993e-02
    3       3.000s     6.514e-01     6.343e-01   -1.715e-02
    4       4.000s     5.075e-01     5.036e-01   -3.936e-03
    5       5.000s     3.944e-01     4.019e-01    7.432e-03
    6       6.000s     3.094e-01     3.226e-01    1.321e-02
    7       7.000s     2.481e-01     2.609e-01    1.280e-02
    8       8.000s     2.043e-01     2.127e-01    8.379e-03
    9       9.000s     1.718e-01     1.751e-01    3.306e-03
   10      10.000s     1.465e-01     1.457e-01   -8.561e-04
   11      11.000s     1.269e-01     1.226e-01   -4.267e-03
   12      12.000s     1.112e-01     1.045e-01   -6.625e-03
   13      13.000s     9.743e-02     9.031e-02   -7.126e-03
   14      14.000s     8.521e-02     7.907e-02   -6.133e-03
   15      15.000s     7.509e-02     7.017e-02   -4.911e-03
   16      16.000s     6.692e-02     6.309e-02   -3.828e-03
   17      17.000s     5.974e-02     5.742e-02   -2.325e-03
   18      18.000s     5.333e-02     5.285e-02   -4.808e-04
   19      19.000s     4.825e-02     4.914e-02    8.867e-04
   20      20.000s     4.450e-02     4.609e-02    1.600e-03
   21      21.000s     4.130e-02     4.358e-02    2.277e-03
   22      22.000s     3.840e-02     4.147e-02    3.073e-03
   23      23.000s     3.625e-02     3.968e-02    3.435e-03
   24      24.000s     3.496e-02     3.815e-02    3.183e-03
   25      25.000s     3.402e-02     3.681e-02    2.791e-03
   26      26.000s     3.321e-02     3.564e-02    2.427e-03
   27      27.000s     3.296e-02     3.458e-02    1.626e-03
   28      28.000s     3.358e-02     3.363e-02    5.158e-05
   29      29.000s     3.492e-02     3.276e-02   -2.158e-03
   30      30.000s     3.680e-02     3.195e-02   -4.854e-03

============================================================

