SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/84/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 253 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.186e+00     7.965e-02  
T     =       4.328s       50.357s  

RSS   =    1.824e-03
SD    =    7.797e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.020e+00    1.956e-02
    2       2.000s     8.439e-01     8.238e-01   -2.012e-02
    3       3.000s     6.867e-01     6.682e-01   -1.856e-02
    4       4.000s     5.489e-01     5.443e-01   -4.609e-03
    5       5.000s     4.389e-01     4.458e-01    6.900e-03
    6       6.000s     3.550e-01     3.673e-01    1.224e-02
    7       7.000s     2.923e-01     3.047e-01    1.241e-02
    8       8.000s     2.456e-01     2.548e-01    9.176e-03
    9       9.000s     2.106e-01     2.149e-01    4.330e-03
   10      10.000s     1.833e-01     1.830e-01   -3.055e-04
   11      11.000s     1.611e-01     1.574e-01   -3.605e-03
   12      12.000s     1.424e-01     1.369e-01   -5.449e-03
   13      13.000s     1.265e-01     1.204e-01   -6.113e-03
   14      14.000s     1.128e-01     1.070e-01   -5.805e-03
   15      15.000s     1.010e-01     9.621e-02   -4.832e-03
   16      16.000s     9.106e-02     8.740e-02   -3.664e-03
   17      17.000s     8.273e-02     8.019e-02   -2.539e-03
   18      18.000s     7.559e-02     7.425e-02   -1.337e-03
   19      19.000s     6.936e-02     6.933e-02   -2.385e-05
   20      20.000s     6.411e-02     6.522e-02    1.111e-03
   21      21.000s     5.994e-02     6.176e-02    1.820e-03
   22      22.000s     5.659e-02     5.882e-02    2.229e-03
   23      23.000s     5.370e-02     5.629e-02    2.580e-03
   24      24.000s     5.123e-02     5.409e-02    2.860e-03
   25      25.000s     4.930e-02     5.216e-02    2.860e-03
   26      26.000s     4.800e-02     5.045e-02    2.444e-03
   27      27.000s     4.733e-02     4.891e-02    1.578e-03
   28      28.000s     4.727e-02     4.752e-02    2.432e-04
   29      29.000s     4.779e-02     4.624e-02   -1.547e-03
   30      30.000s     4.881e-02     4.506e-02   -3.752e-03

============================================================

