SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/177/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.183e+00     2.568e-02  
T     =       6.081s    805313317793800.750s  

RSS   =    4.251e-03
SD    =    1.190e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.029e+00    2.913e-02
    2       2.000s     8.802e-01     8.770e-01   -3.247e-03
    3       3.000s     7.610e-01     7.479e-01   -1.313e-02
    4       4.000s     6.538e-01     6.384e-01   -1.544e-02
    5       5.000s     5.611e-01     5.455e-01   -1.564e-02
    6       6.000s     4.810e-01     4.666e-01   -1.435e-02
    7       7.000s     4.111e-01     3.998e-01   -1.134e-02
    8       8.000s     3.498e-01     3.430e-01   -6.769e-03
    9       9.000s     2.959e-01     2.949e-01   -9.539e-04
   10      10.000s     2.486e-01     2.541e-01    5.462e-03
   11      11.000s     2.082e-01     2.195e-01    1.123e-02
   12      12.000s     1.750e-01     1.901e-01    1.506e-02
   13      13.000s     1.486e-01     1.651e-01    1.656e-02
   14      14.000s     1.277e-01     1.440e-01    1.626e-02
   15      15.000s     1.112e-01     1.261e-01    1.485e-02
   16      16.000s     9.807e-02     1.108e-01    1.276e-02
   17      17.000s     8.758e-02     9.792e-02    1.033e-02
   18      18.000s     7.898e-02     8.696e-02    7.979e-03
   19      19.000s     7.180e-02     7.767e-02    5.869e-03
   20      20.000s     6.593e-02     6.979e-02    3.856e-03
   21      21.000s     6.127e-02     6.310e-02    1.831e-03
   22      22.000s     5.750e-02     5.742e-02   -8.040e-05
   23      23.000s     5.439e-02     5.261e-02   -1.783e-03
   24      24.000s     5.195e-02     4.852e-02   -3.423e-03
   25      25.000s     5.025e-02     4.506e-02   -5.188e-03
   26      26.000s     4.922e-02     4.212e-02   -7.095e-03
   27      27.000s     4.878e-02     3.963e-02   -9.149e-03
   28      28.000s     4.903e-02     3.751e-02   -1.152e-02
   29      29.000s     5.011e-02     3.572e-02   -1.439e-02
   30      30.000s     5.187e-02     3.419e-02   -1.768e-02

============================================================

