SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/189/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.239e+00     1.563e-02  
T     =       5.235s    324207396037984.250s  

RSS   =    5.397e-03
SD    =    1.341e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.039e+00    3.907e-02
    2       2.000s     8.722e-01     8.611e-01   -1.105e-02
    3       3.000s     7.409e-01     7.141e-01   -2.685e-02
    4       4.000s     6.188e-01     5.926e-01   -2.615e-02
    5       5.000s     5.103e-01     4.923e-01   -1.804e-02
    6       6.000s     4.168e-01     4.094e-01   -7.447e-03
    7       7.000s     3.394e-01     3.409e-01    1.542e-03
    8       8.000s     2.772e-01     2.844e-01    7.145e-03
    9       9.000s     2.269e-01     2.376e-01    1.069e-02
   10      10.000s     1.855e-01     1.990e-01    1.355e-02
   11      11.000s     1.522e-01     1.671e-01    1.496e-02
   12      12.000s     1.266e-01     1.408e-01    1.415e-02
   13      13.000s     1.067e-01     1.190e-01    1.230e-02
   14      14.000s     9.019e-02     1.010e-01    1.085e-02
   15      15.000s     7.663e-02     8.619e-02    9.567e-03
   16      16.000s     6.630e-02     7.392e-02    7.622e-03
   17      17.000s     5.831e-02     6.378e-02    5.470e-03
   18      18.000s     5.147e-02     5.541e-02    3.940e-03
   19      19.000s     4.578e-02     4.849e-02    2.714e-03
   20      20.000s     4.163e-02     4.278e-02    1.145e-03
   21      21.000s     3.840e-02     3.806e-02   -3.478e-04
   22      22.000s     3.524e-02     3.416e-02   -1.081e-03
   23      23.000s     3.247e-02     3.094e-02   -1.532e-03
   24      24.000s     3.094e-02     2.827e-02   -2.665e-03
   25      25.000s     3.051e-02     2.607e-02   -4.440e-03
   26      26.000s     3.044e-02     2.426e-02   -6.183e-03
   27      27.000s     3.069e-02     2.276e-02   -7.937e-03
   28      28.000s     3.186e-02     2.152e-02   -1.034e-02
   29      29.000s     3.403e-02     2.049e-02   -1.354e-02
   30      30.000s     3.676e-02     1.965e-02   -1.711e-02

============================================================

