SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/117/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.234e+00     4.085e-02  
T     =       4.622s    222814966364614.188s  

RSS   =    4.206e-03
SD    =    1.184e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.034e+00    3.448e-02
    2       2.000s     8.633e-01     8.412e-01   -2.218e-02
    3       3.000s     7.166e-01     6.855e-01   -3.108e-02
    4       4.000s     5.798e-01     5.601e-01   -1.974e-02
    5       5.000s     4.627e-01     4.591e-01   -3.617e-03
    6       6.000s     3.679e-01     3.777e-01    9.838e-03
    7       7.000s     2.952e-01     3.122e-01    1.700e-02
    8       8.000s     2.417e-01     2.594e-01    1.764e-02
    9       9.000s     2.025e-01     2.169e-01    1.441e-02
   10      10.000s     1.726e-01     1.826e-01    9.998e-03
   11      11.000s     1.496e-01     1.550e-01    5.416e-03
   12      12.000s     1.318e-01     1.328e-01    9.988e-04
   13      13.000s     1.173e-01     1.149e-01   -2.396e-03
   14      14.000s     1.047e-01     1.005e-01   -4.157e-03
   15      15.000s     9.363e-02     8.892e-02   -4.715e-03
   16      16.000s     8.432e-02     7.957e-02   -4.752e-03
   17      17.000s     7.636e-02     7.203e-02   -4.325e-03
   18      18.000s     6.935e-02     6.597e-02   -3.379e-03
   19      19.000s     6.344e-02     6.108e-02   -2.361e-03
   20      20.000s     5.885e-02     5.715e-02   -1.702e-03
   21      21.000s     5.521e-02     5.398e-02   -1.238e-03
   22      22.000s     5.208e-02     5.142e-02   -6.603e-04
   23      23.000s     4.945e-02     4.937e-02   -8.369e-05
   24      24.000s     4.744e-02     4.771e-02    2.690e-04
   25      25.000s     4.590e-02     4.638e-02    4.813e-04
   26      26.000s     4.468e-02     4.530e-02    6.271e-04
   27      27.000s     4.400e-02     4.444e-02    4.326e-04
   28      28.000s     4.410e-02     4.374e-02   -3.649e-04
   29      29.000s     4.483e-02     4.318e-02   -1.647e-03
   30      30.000s     4.592e-02     4.273e-02   -3.192e-03

============================================================

