SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/303/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.222e+00     4.356e-02  
T     =       5.023s    966659693075614.500s  

RSS   =    6.230e-03
SD    =    1.441e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.045e+00    4.522e-02
    2       2.000s     8.884e-01     8.644e-01   -2.404e-02
    3       3.000s     7.575e-01     7.162e-01   -4.127e-02
    4       4.000s     6.211e-01     5.948e-01   -2.628e-02
    5       5.000s     5.000e-01     4.953e-01   -4.658e-03
    6       6.000s     4.042e-01     4.137e-01    9.521e-03
    7       7.000s     3.310e-01     3.469e-01    1.589e-02
    8       8.000s     2.747e-01     2.922e-01    1.748e-02
    9       9.000s     2.320e-01     2.473e-01    1.530e-02
   10      10.000s     1.997e-01     2.105e-01    1.084e-02
   11      11.000s     1.736e-01     1.804e-01    6.819e-03
   12      12.000s     1.515e-01     1.557e-01    4.206e-03
   13      13.000s     1.335e-01     1.354e-01    1.907e-03
   14      14.000s     1.191e-01     1.189e-01   -2.576e-04
   15      15.000s     1.064e-01     1.053e-01   -1.166e-03
   16      16.000s     9.502e-02     9.412e-02   -8.986e-04
   17      17.000s     8.590e-02     8.500e-02   -9.073e-04
   18      18.000s     7.904e-02     7.752e-02   -1.525e-03
   19      19.000s     7.303e-02     7.139e-02   -1.637e-03
   20      20.000s     6.731e-02     6.637e-02   -9.422e-04
   21      21.000s     6.267e-02     6.225e-02   -4.256e-04
   22      22.000s     5.934e-02     5.888e-02   -4.615e-04
   23      23.000s     5.650e-02     5.611e-02   -3.851e-04
   24      24.000s     5.398e-02     5.385e-02   -1.297e-04
   25      25.000s     5.251e-02     5.199e-02   -5.208e-04
   26      26.000s     5.219e-02     5.047e-02   -1.718e-03
   27      27.000s     5.217e-02     4.922e-02   -2.951e-03
   28      28.000s     5.220e-02     4.820e-02   -4.003e-03
   29      29.000s     5.286e-02     4.736e-02   -5.499e-03
   30      30.000s     5.420e-02     4.668e-02   -7.521e-03

============================================================

