SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/304/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.270e+00     1.115e-02  
T     =       6.134s    201325511019766.062s  

RSS   =    2.706e-02
SD    =    3.003e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.090e+00    8.996e-02
    2       2.000s     9.360e-01     9.277e-01   -8.302e-03
    3       3.000s     8.513e-01     7.898e-01   -6.148e-02
    4       4.000s     7.414e-01     6.727e-01   -6.876e-02
    5       5.000s     6.216e-01     5.731e-01   -4.846e-02
    6       6.000s     5.104e-01     4.886e-01   -2.182e-02
    7       7.000s     4.166e-01     4.168e-01    2.022e-04
    8       8.000s     3.402e-01     3.558e-01    1.559e-02
    9       9.000s     2.792e-01     3.039e-01    2.470e-02
   10      10.000s     2.315e-01     2.599e-01    2.840e-02
   11      11.000s     1.936e-01     2.225e-01    2.881e-02
   12      12.000s     1.628e-01     1.907e-01    2.787e-02
   13      13.000s     1.378e-01     1.637e-01    2.590e-02
   14      14.000s     1.181e-01     1.407e-01    2.265e-02
   15      15.000s     1.024e-01     1.212e-01    1.884e-02
   16      16.000s     8.923e-02     1.047e-01    1.544e-02
   17      17.000s     7.815e-02     9.060e-02    1.245e-02
   18      18.000s     6.925e-02     7.865e-02    9.397e-03
   19      19.000s     6.217e-02     6.849e-02    6.324e-03
   20      20.000s     5.637e-02     5.987e-02    3.495e-03
   21      21.000s     5.175e-02     5.254e-02    7.890e-04
   22      22.000s     4.830e-02     4.631e-02   -1.986e-03
   23      23.000s     4.569e-02     4.102e-02   -4.664e-03
   24      24.000s     4.367e-02     3.653e-02   -7.140e-03
   25      25.000s     4.248e-02     3.271e-02   -9.769e-03
   26      26.000s     4.235e-02     2.947e-02   -1.289e-02
   27      27.000s     4.302e-02     2.671e-02   -1.631e-02
   28      28.000s     4.407e-02     2.437e-02   -1.970e-02
   29      29.000s     4.544e-02     2.238e-02   -2.306e-02
   30      30.000s     4.716e-02     2.069e-02   -2.647e-02

============================================================

