SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/316/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.174e+00     6.540e-02  
T     =       5.185s    77708281225800.250s  

RSS   =    3.828e-03
SD    =    1.130e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.033e+00    3.324e-02
    2       2.000s     8.846e-01     8.635e-01   -2.117e-02
    3       3.000s     7.545e-01     7.235e-01   -3.100e-02
    4       4.000s     6.260e-01     6.081e-01   -1.797e-02
    5       5.000s     5.137e-01     5.129e-01   -8.658e-04
    6       6.000s     4.240e-01     4.344e-01    1.040e-02
    7       7.000s     3.545e-01     3.697e-01    1.517e-02
    8       8.000s     3.005e-01     3.163e-01    1.575e-02
    9       9.000s     2.592e-01     2.723e-01    1.311e-02
   10      10.000s     2.278e-01     2.360e-01    8.178e-03
   11      11.000s     2.028e-01     2.061e-01    3.264e-03
   12      12.000s     1.814e-01     1.814e-01   -1.835e-05
   13      13.000s     1.633e-01     1.610e-01   -2.231e-03
   14      14.000s     1.485e-01     1.443e-01   -4.213e-03
   15      15.000s     1.358e-01     1.304e-01   -5.393e-03
   16      16.000s     1.242e-01     1.190e-01   -5.151e-03
   17      17.000s     1.140e-01     1.096e-01   -4.333e-03
   18      18.000s     1.059e-01     1.019e-01   -4.032e-03
   19      19.000s     9.943e-02     9.547e-02   -3.964e-03
   20      20.000s     9.346e-02     9.019e-02   -3.262e-03
   21      21.000s     8.784e-02     8.584e-02   -1.998e-03
   22      22.000s     8.310e-02     8.226e-02   -8.440e-04
   23      23.000s     7.922e-02     7.930e-02    7.679e-05
   24      24.000s     7.587e-02     7.686e-02    9.881e-04
   25      25.000s     7.320e-02     7.485e-02    1.656e-03
   26      26.000s     7.149e-02     7.319e-02    1.706e-03
   27      27.000s     7.048e-02     7.183e-02    1.345e-03
   28      28.000s     6.968e-02     7.070e-02    1.014e-03
   29      29.000s     6.912e-02     6.977e-02    6.488e-04
   30      30.000s     6.911e-02     6.900e-02   -1.076e-04

============================================================

