SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/19/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.231e+00     3.211e-02  
T     =       5.064s    374295918126401.000s  

RSS   =    5.492e-03
SD    =    1.353e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.042e+00    4.219e-02
    2       2.000s     8.799e-01     8.612e-01   -1.875e-02
    3       3.000s     7.473e-01     7.126e-01   -3.463e-02
    4       4.000s     6.171e-01     5.907e-01   -2.645e-02
    5       5.000s     5.021e-01     4.906e-01   -1.153e-02
    6       6.000s     4.064e-01     4.084e-01    2.003e-03
    7       7.000s     3.293e-01     3.410e-01    1.171e-02
    8       8.000s     2.695e-01     2.857e-01    1.612e-02
    9       9.000s     2.250e-01     2.402e-01    1.524e-02
   10      10.000s     1.912e-01     2.029e-01    1.177e-02
   11      11.000s     1.636e-01     1.723e-01    8.754e-03
   12      12.000s     1.404e-01     1.472e-01    6.752e-03
   13      13.000s     1.217e-01     1.266e-01    4.898e-03
   14      14.000s     1.064e-01     1.096e-01    3.221e-03
   15      15.000s     9.343e-02     9.575e-02    2.323e-03
   16      16.000s     8.244e-02     8.435e-02    1.908e-03
   17      17.000s     7.371e-02     7.499e-02    1.275e-03
   18      18.000s     6.670e-02     6.730e-02    5.990e-04
   19      19.000s     6.053e-02     6.100e-02    4.643e-04
   20      20.000s     5.513e-02     5.582e-02    6.871e-04
   21      21.000s     5.091e-02     5.157e-02    6.646e-04
   22      22.000s     4.768e-02     4.808e-02    3.975e-04
   23      23.000s     4.499e-02     4.522e-02    2.286e-04
   24      24.000s     4.289e-02     4.287e-02   -1.692e-05
   25      25.000s     4.178e-02     4.094e-02   -8.395e-04
   26      26.000s     4.175e-02     3.936e-02   -2.390e-03
   27      27.000s     4.266e-02     3.806e-02   -4.598e-03
   28      28.000s     4.449e-02     3.699e-02   -7.494e-03
   29      29.000s     4.692e-02     3.612e-02   -1.081e-02
   30      30.000s     4.910e-02     3.540e-02   -1.370e-02

============================================================

