SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/21/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.258e+00     2.849e-02  
T     =       4.450s    70259068142046.594s  

RSS   =    4.118e-03
SD    =    1.172e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.033e+00    3.345e-02
    2       2.000s     8.578e-01     8.312e-01   -2.663e-02
    3       3.000s     7.013e-01     6.697e-01   -3.159e-02
    4       4.000s     5.546e-01     5.406e-01   -1.398e-02
    5       5.000s     4.340e-01     4.376e-01    3.588e-03
    6       6.000s     3.419e-01     3.552e-01    1.337e-02
    7       7.000s     2.727e-01     2.895e-01    1.677e-02
    8       8.000s     2.210e-01     2.370e-01    1.602e-02
    9       9.000s     1.830e-01     1.950e-01    1.202e-02
   10      10.000s     1.550e-01     1.615e-01    6.487e-03
   11      11.000s     1.330e-01     1.347e-01    1.729e-03
   12      12.000s     1.149e-01     1.134e-01   -1.497e-03
   13      13.000s     1.002e-01     9.628e-02   -3.904e-03
   14      14.000s     8.829e-02     8.263e-02   -5.657e-03
   15      15.000s     7.788e-02     7.174e-02   -6.140e-03
   16      16.000s     6.850e-02     6.303e-02   -5.462e-03
   17      17.000s     6.066e-02     5.608e-02   -4.578e-03
   18      18.000s     5.441e-02     5.053e-02   -3.880e-03
   19      19.000s     4.905e-02     4.609e-02   -2.953e-03
   20      20.000s     4.429e-02     4.255e-02   -1.737e-03
   21      21.000s     4.050e-02     3.972e-02   -7.818e-04
   22      22.000s     3.773e-02     3.746e-02   -2.699e-04
   23      23.000s     3.541e-02     3.566e-02    2.438e-04
   24      24.000s     3.326e-02     3.421e-02    9.563e-04
   25      25.000s     3.155e-02     3.306e-02    1.509e-03
   26      26.000s     3.048e-02     3.214e-02    1.661e-03
   27      27.000s     2.986e-02     3.141e-02    1.544e-03
   28      28.000s     2.968e-02     3.082e-02    1.140e-03
   29      29.000s     3.021e-02     3.035e-02    1.397e-04
   30      30.000s     3.154e-02     2.998e-02   -1.564e-03

============================================================

