SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/9/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.180e+00     3.398e-02  
T     =       5.691s    1758006977915276.250s  

RSS   =    1.762e-03
SD    =    7.665e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.024e+00    2.404e-02
    2       2.000s     8.716e-01     8.645e-01   -7.113e-03
    3       3.000s     7.474e-01     7.307e-01   -1.670e-02
    4       4.000s     6.342e-01     6.184e-01   -1.577e-02
    5       5.000s     5.346e-01     5.242e-01   -1.037e-02
    6       6.000s     4.489e-01     4.452e-01   -3.717e-03
    7       7.000s     3.768e-01     3.790e-01    2.153e-03
    8       8.000s     3.174e-01     3.234e-01    5.978e-03
    9       9.000s     2.691e-01     2.767e-01    7.601e-03
   10      10.000s     2.298e-01     2.376e-01    7.822e-03
   11      11.000s     1.973e-01     2.048e-01    7.473e-03
   12      12.000s     1.705e-01     1.773e-01    6.783e-03
   13      13.000s     1.485e-01     1.542e-01    5.695e-03
   14      14.000s     1.304e-01     1.348e-01    4.381e-03
   15      15.000s     1.154e-01     1.186e-01    3.131e-03
   16      16.000s     1.029e-01     1.049e-01    2.020e-03
   17      17.000s     9.250e-02     9.350e-02    9.993e-04
   18      18.000s     8.371e-02     8.391e-02    1.981e-04
   19      19.000s     7.603e-02     7.587e-02   -1.692e-04
   20      20.000s     6.924e-02     6.912e-02   -1.242e-04
   21      21.000s     6.337e-02     6.345e-02    8.203e-05
   22      22.000s     5.846e-02     5.870e-02    2.423e-04
   23      23.000s     5.446e-02     5.472e-02    2.594e-04
   24      24.000s     5.136e-02     5.138e-02    1.498e-05
   25      25.000s     4.917e-02     4.857e-02   -5.986e-04
   26      26.000s     4.776e-02     4.622e-02   -1.537e-03
   27      27.000s     4.696e-02     4.425e-02   -2.711e-03
   28      28.000s     4.685e-02     4.259e-02   -4.256e-03
   29      29.000s     4.767e-02     4.121e-02   -6.460e-03
   30      30.000s     4.939e-02     4.004e-02   -9.348e-03

============================================================

