SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/315/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 114 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.162e+00     7.844e-02  
T     =       4.628s      238.608s  

RSS   =    1.061e-03
SD    =    5.947e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.014e+00    1.444e-02
    2       2.000s     8.478e-01     8.322e-01   -1.567e-02
    3       3.000s     6.977e-01     6.852e-01   -1.243e-02
    4       4.000s     5.695e-01     5.668e-01   -2.677e-03
    5       5.000s     4.674e-01     4.713e-01    3.959e-03
    6       6.000s     3.867e-01     3.943e-01    7.612e-03
    7       7.000s     3.232e-01     3.323e-01    9.080e-03
    8       8.000s     2.743e-01     2.822e-01    7.904e-03
    9       9.000s     2.371e-01     2.418e-01    4.635e-03
   10      10.000s     2.081e-01     2.091e-01    1.012e-03
   11      11.000s     1.847e-01     1.828e-01   -1.906e-03
   12      12.000s     1.657e-01     1.615e-01   -4.128e-03
   13      13.000s     1.499e-01     1.443e-01   -5.561e-03
   14      14.000s     1.362e-01     1.304e-01   -5.809e-03
   15      15.000s     1.242e-01     1.191e-01   -5.065e-03
   16      16.000s     1.141e-01     1.100e-01   -4.081e-03
   17      17.000s     1.057e-01     1.026e-01   -3.168e-03
   18      18.000s     9.854e-02     9.652e-02   -2.017e-03
   19      19.000s     9.216e-02     9.159e-02   -5.694e-04
   20      20.000s     8.687e-02     8.757e-02    6.996e-04
   21      21.000s     8.278e-02     8.427e-02    1.489e-03
   22      22.000s     7.950e-02     8.155e-02    2.053e-03
   23      23.000s     7.664e-02     7.931e-02    2.668e-03
   24      24.000s     7.425e-02     7.744e-02    3.187e-03
   25      25.000s     7.256e-02     7.588e-02    3.314e-03
   26      26.000s     7.161e-02     7.457e-02    2.951e-03
   27      27.000s     7.135e-02     7.345e-02    2.105e-03
   28      28.000s     7.177e-02     7.250e-02    7.294e-04
   29      29.000s     7.285e-02     7.167e-02   -1.174e-03
   30      30.000s     7.440e-02     7.095e-02   -3.444e-03

============================================================

