SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/229/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 298 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.199e+00     8.119e-02  
T     =       4.202s       54.533s  

RSS   =    2.787e-03
SD    =    9.639e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.024e+00    2.441e-02
    2       2.000s     8.495e-01     8.229e-01   -2.659e-02
    3       3.000s     6.871e-01     6.638e-01   -2.339e-02
    4       4.000s     5.412e-01     5.381e-01   -3.154e-03
    5       5.000s     4.275e-01     4.387e-01    1.120e-02
    6       6.000s     3.450e-01     3.601e-01    1.518e-02
    7       7.000s     2.844e-01     2.980e-01    1.351e-02
    8       8.000s     2.390e-01     2.487e-01    9.649e-03
    9       9.000s     2.052e-01     2.096e-01    4.370e-03
   10      10.000s     1.796e-01     1.785e-01   -1.044e-03
   11      11.000s     1.585e-01     1.538e-01   -4.697e-03
   12      12.000s     1.404e-01     1.341e-01   -6.340e-03
   13      13.000s     1.253e-01     1.183e-01   -7.017e-03
   14      14.000s     1.126e-01     1.056e-01   -6.986e-03
   15      15.000s     1.012e-01     9.542e-02   -5.806e-03
   16      16.000s     9.104e-02     8.715e-02   -3.891e-03
   17      17.000s     8.268e-02     8.041e-02   -2.269e-03
   18      18.000s     7.600e-02     7.489e-02   -1.106e-03
   19      19.000s     7.018e-02     7.033e-02    1.463e-04
   20      20.000s     6.508e-02     6.653e-02    1.447e-03
   21      21.000s     6.110e-02     6.333e-02    2.231e-03
   22      22.000s     5.808e-02     6.062e-02    2.537e-03
   23      23.000s     5.537e-02     5.828e-02    2.912e-03
   24      24.000s     5.293e-02     5.625e-02    3.314e-03
   25      25.000s     5.134e-02     5.446e-02    3.121e-03
   26      26.000s     5.068e-02     5.286e-02    2.181e-03
   27      27.000s     5.044e-02     5.142e-02    9.872e-04
   28      28.000s     5.028e-02     5.011e-02   -1.666e-04
   29      29.000s     5.039e-02     4.891e-02   -1.486e-03
   30      30.000s     5.095e-02     4.779e-02   -3.167e-03

============================================================

