SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/333/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 310 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.204e+00     5.215e-02  
T     =       4.504s      168.024s  

RSS   =    1.083e-03
SD    =    6.007e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.016e+00    1.584e-02
    2       2.000s     8.396e-01     8.236e-01   -1.602e-02
    3       3.000s     6.832e-01     6.696e-01   -1.359e-02
    4       4.000s     5.501e-01     5.462e-01   -3.895e-03
    5       5.000s     4.438e-01     4.473e-01    3.432e-03
    6       6.000s     3.601e-01     3.680e-01    7.907e-03
    7       7.000s     2.950e-01     3.045e-01    9.473e-03
    8       8.000s     2.458e-01     2.535e-01    7.738e-03
    9       9.000s     2.084e-01     2.126e-01    4.210e-03
   10      10.000s     1.788e-01     1.799e-01    1.098e-03
   11      11.000s     1.547e-01     1.535e-01   -1.116e-03
   12      12.000s     1.354e-01     1.324e-01   -3.031e-03
   13      13.000s     1.198e-01     1.154e-01   -4.417e-03
   14      14.000s     1.064e-01     1.018e-01   -4.607e-03
   15      15.000s     9.470e-02     9.078e-02   -3.918e-03
   16      16.000s     8.514e-02     8.192e-02   -3.224e-03
   17      17.000s     7.743e-02     7.477e-02   -2.662e-03
   18      18.000s     7.085e-02     6.899e-02   -1.858e-03
   19      19.000s     6.520e-02     6.430e-02   -8.993e-04
   20      20.000s     6.060e-02     6.050e-02   -9.968e-05
   21      21.000s     5.671e-02     5.740e-02    6.867e-04
   22      22.000s     5.320e-02     5.486e-02    1.656e-03
   23      23.000s     5.035e-02     5.278e-02    2.422e-03
   24      24.000s     4.848e-02     5.105e-02    2.569e-03
   25      25.000s     4.726e-02     4.962e-02    2.367e-03
   26      26.000s     4.621e-02     4.842e-02    2.213e-03
   27      27.000s     4.559e-02     4.741e-02    1.823e-03
   28      28.000s     4.588e-02     4.655e-02    6.677e-04
   29      29.000s     4.703e-02     4.581e-02   -1.217e-03
   30      30.000s     4.870e-02     4.517e-02   -3.532e-03

============================================================

