SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/222/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 547 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    8.555e-01     2.986e-01  
T     =       6.022s       16.738s  

RSS   =    1.775e-04
SD    =    2.432e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.006e+00    5.893e-03
    2       2.000s     8.854e-01     8.787e-01   -6.720e-03
    3       3.000s     7.741e-01     7.694e-01   -4.682e-03
    4       4.000s     6.762e-01     6.754e-01   -8.149e-04
    5       5.000s     5.920e-01     5.944e-01    2.428e-03
    6       6.000s     5.208e-01     5.245e-01    3.738e-03
    7       7.000s     4.612e-01     4.641e-01    2.861e-03
    8       8.000s     4.103e-01     4.117e-01    1.446e-03
    9       9.000s     3.657e-01     3.663e-01    6.057e-04
   10      10.000s     3.270e-01     3.269e-01   -1.369e-04
   11      11.000s     2.934e-01     2.925e-01   -9.499e-04
   12      12.000s     2.635e-01     2.624e-01   -1.110e-03
   13      13.000s     2.368e-01     2.361e-01   -7.024e-04
   14      14.000s     2.138e-01     2.130e-01   -8.001e-04
   15      15.000s     1.943e-01     1.927e-01   -1.588e-03
   16      16.000s     1.769e-01     1.748e-01   -2.033e-03
   17      17.000s     1.606e-01     1.590e-01   -1.670e-03
   18      18.000s     1.461e-01     1.449e-01   -1.128e-03
   19      19.000s     1.331e-01     1.324e-01   -6.977e-04
   20      20.000s     1.212e-01     1.213e-01    1.224e-04
   21      21.000s     1.100e-01     1.113e-01    1.350e-03
   22      22.000s     1.002e-01     1.024e-01    2.157e-03
   23      23.000s     9.220e-02     9.433e-02    2.126e-03
   24      24.000s     8.531e-02     8.708e-02    1.766e-03
   25      25.000s     7.902e-02     8.052e-02    1.497e-03
   26      26.000s     7.344e-02     7.457e-02    1.132e-03
   27      27.000s     6.863e-02     6.916e-02    5.266e-04
   28      28.000s     6.442e-02     6.423e-02   -1.922e-04
   29      29.000s     6.099e-02     5.973e-02   -1.257e-03
   30      30.000s     5.884e-02     5.561e-02   -3.234e-03

============================================================

