SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/67/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.179e+00     2.634e-02  
T     =       5.802s    525253789547567.625s  

RSS   =    8.798e-04
SD    =    5.416e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.018e+00    1.830e-02
    2       2.000s     8.735e-01     8.613e-01   -1.230e-02
    3       3.000s     7.421e-01     7.291e-01   -1.299e-02
    4       4.000s     6.240e-01     6.178e-01   -6.147e-03
    5       5.000s     5.241e-01     5.242e-01    8.636e-05
    6       6.000s     4.417e-01     4.454e-01    3.640e-03
    7       7.000s     3.751e-01     3.790e-01    3.900e-03
    8       8.000s     3.214e-01     3.232e-01    1.771e-03
    9       9.000s     2.766e-01     2.762e-01   -4.469e-04
   10      10.000s     2.377e-01     2.366e-01   -1.022e-03
   11      11.000s     2.034e-01     2.033e-01   -5.287e-05
   12      12.000s     1.739e-01     1.753e-01    1.380e-03
   13      13.000s     1.492e-01     1.517e-01    2.535e-03
   14      14.000s     1.287e-01     1.319e-01    3.226e-03
   15      15.000s     1.117e-01     1.152e-01    3.437e-03
   16      16.000s     9.789e-02     1.011e-01    3.211e-03
   17      17.000s     8.652e-02     8.927e-02    2.749e-03
   18      18.000s     7.702e-02     7.931e-02    2.290e-03
   19      19.000s     6.899e-02     7.092e-02    1.926e-03
   20      20.000s     6.227e-02     6.386e-02    1.595e-03
   21      21.000s     5.672e-02     5.792e-02    1.200e-03
   22      22.000s     5.220e-02     5.292e-02    7.221e-04
   23      23.000s     4.846e-02     4.871e-02    2.549e-04
   24      24.000s     4.527e-02     4.517e-02   -9.562e-05
   25      25.000s     4.261e-02     4.219e-02   -4.241e-04
   26      26.000s     4.072e-02     3.968e-02   -1.036e-03
   27      27.000s     3.969e-02     3.757e-02   -2.124e-03
   28      28.000s     3.934e-02     3.579e-02   -3.553e-03
   29      29.000s     3.941e-02     3.429e-02   -5.118e-03
   30      30.000s     3.995e-02     3.304e-02   -6.919e-03

============================================================

