SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/281/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 102 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.286e+00    -6.307e-03  
T     =       6.253s      185.945s  

RSS   =    3.147e-02
SD    =    3.239e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.089e+00    8.937e-02
    2       2.000s     9.254e-01     9.275e-01    2.107e-03
    3       3.000s     8.484e-01     7.895e-01   -5.885e-02
    4       4.000s     7.509e-01     6.719e-01   -7.897e-02
    5       5.000s     6.349e-01     5.717e-01   -6.315e-02
    6       6.000s     5.169e-01     4.864e-01   -3.053e-02
    7       7.000s     4.125e-01     4.136e-01    1.131e-03
    8       8.000s     3.285e-01     3.516e-01    2.309e-02
    9       9.000s     2.646e-01     2.988e-01    3.421e-02
   10      10.000s     2.166e-01     2.538e-01    3.722e-02
   11      11.000s     1.797e-01     2.154e-01    3.571e-02
   12      12.000s     1.507e-01     1.827e-01    3.202e-02
   13      13.000s     1.279e-01     1.549e-01    2.701e-02
   14      14.000s     1.097e-01     1.312e-01    2.143e-02
   15      15.000s     9.462e-02     1.109e-01    1.631e-02
   16      16.000s     8.169e-02     9.371e-02    1.202e-02
   17      17.000s     7.090e-02     7.904e-02    8.135e-03
   18      18.000s     6.194e-02     6.653e-02    4.594e-03
   19      19.000s     5.406e-02     5.589e-02    1.829e-03
   20      20.000s     4.707e-02     4.681e-02   -2.547e-04
   21      21.000s     4.150e-02     3.909e-02   -2.407e-03
   22      22.000s     3.741e-02     3.251e-02   -4.898e-03
   23      23.000s     3.415e-02     2.691e-02   -7.247e-03
   24      24.000s     3.135e-02     2.214e-02   -9.211e-03
   25      25.000s     2.919e-02     1.807e-02   -1.112e-02
   26      26.000s     2.769e-02     1.462e-02   -1.307e-02
   27      27.000s     2.648e-02     1.168e-02   -1.480e-02
   28      28.000s     2.566e-02     9.174e-03   -1.648e-02
   29      29.000s     2.580e-02     7.045e-03   -1.875e-02
   30      30.000s     2.700e-02     5.235e-03   -2.177e-02

============================================================

