SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/12/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.208e+00     1.705e-02  
T     =       6.826s    584087423439386.750s  

RSS   =    1.055e-02
SD    =    1.875e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.060e+00    6.038e-02
    2       2.000s     9.266e-01     9.182e-01   -8.361e-03
    3       3.000s     8.323e-01     7.954e-01   -3.688e-02
    4       4.000s     7.299e-01     6.893e-01   -4.055e-02
    5       5.000s     6.299e-01     5.977e-01   -3.217e-02
    6       6.000s     5.358e-01     5.186e-01   -1.720e-02
    7       7.000s     4.513e-01     4.503e-01   -1.042e-03
    8       8.000s     3.809e-01     3.912e-01    1.028e-02
    9       9.000s     3.246e-01     3.402e-01    1.563e-02
   10      10.000s     2.782e-01     2.962e-01    1.795e-02
   11      11.000s     2.395e-01     2.582e-01    1.863e-02
   12      12.000s     2.083e-01     2.253e-01    1.698e-02
   13      13.000s     1.830e-01     1.969e-01    1.388e-02
   14      14.000s     1.610e-01     1.724e-01    1.137e-02
   15      15.000s     1.417e-01     1.512e-01    9.528e-03
   16      16.000s     1.258e-01     1.330e-01    7.124e-03
   17      17.000s     1.126e-01     1.172e-01    4.581e-03
   18      18.000s     1.002e-01     1.035e-01    3.345e-03
   19      19.000s     8.865e-02     9.174e-02    3.082e-03
   20      20.000s     7.929e-02     8.156e-02    2.268e-03
   21      21.000s     7.189e-02     7.277e-02    8.737e-04
   22      22.000s     6.517e-02     6.518e-02    4.601e-06
   23      23.000s     5.911e-02     5.862e-02   -4.939e-04
   24      24.000s     5.472e-02     5.295e-02   -1.770e-03
   25      25.000s     5.189e-02     4.806e-02   -3.827e-03
   26      26.000s     4.956e-02     4.383e-02   -5.725e-03
   27      27.000s     4.768e-02     4.018e-02   -7.501e-03
   28      28.000s     4.708e-02     3.703e-02   -1.005e-02
   29      29.000s     4.775e-02     3.431e-02   -1.344e-02
   30      30.000s     4.885e-02     3.196e-02   -1.690e-02

============================================================

