SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/89/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 4793 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    7.081e+01    -6.960e+01  
T     =       8.746s        8.779s  

RSS   =    1.429e-02
SD    =    2.182e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.047e+00    4.704e-02
    2       2.000s     9.023e-01     9.102e-01    7.885e-03
    3       3.000s     8.080e-01     7.907e-01   -1.735e-02
    4       4.000s     7.211e-01     6.864e-01   -3.478e-02
    5       5.000s     6.366e-01     5.953e-01   -4.128e-02
    6       6.000s     5.501e-01     5.160e-01   -3.414e-02
    7       7.000s     4.652e-01     4.468e-01   -1.841e-02
    8       8.000s     3.891e-01     3.865e-01   -2.583e-03
    9       9.000s     3.249e-01     3.341e-01    9.193e-03
   10      10.000s     2.709e-01     2.885e-01    1.755e-02
   11      11.000s     2.255e-01     2.488e-01    2.329e-02
   12      12.000s     1.883e-01     2.143e-01    2.595e-02
   13      13.000s     1.585e-01     1.844e-01    2.583e-02
   14      14.000s     1.342e-01     1.584e-01    2.417e-02
   15      15.000s     1.144e-01     1.359e-01    2.147e-02
   16      16.000s     9.880e-02     1.164e-01    1.759e-02
   17      17.000s     8.639e-02     9.952e-02    1.313e-02
   18      18.000s     7.585e-02     8.493e-02    9.077e-03
   19      19.000s     6.688e-02     7.233e-02    5.453e-03
   20      20.000s     5.981e-02     6.146e-02    1.651e-03
   21      21.000s     5.426e-02     5.210e-02   -2.160e-03
   22      22.000s     4.935e-02     4.404e-02   -5.309e-03
   23      23.000s     4.507e-02     3.711e-02   -7.964e-03
   24      24.000s     4.206e-02     3.116e-02   -1.090e-02
   25      25.000s     4.019e-02     2.607e-02   -1.412e-02
   26      26.000s     3.871e-02     2.171e-02   -1.700e-02
   27      27.000s     3.759e-02     1.799e-02   -1.960e-02
   28      28.000s     3.764e-02     1.482e-02   -2.282e-02
   29      29.000s     3.925e-02     1.212e-02   -2.713e-02
   30      30.000s     4.186e-02     9.835e-03   -3.203e-02

============================================================

