SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/310/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.221e+00     3.222e-02  
T     =       4.905s    295069572614231.875s  

RSS   =    2.218e-03
SD    =    8.598e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.028e+00    2.770e-02
    2       2.000s     8.636e-01     8.441e-01   -1.952e-02
    3       3.000s     7.178e-01     6.943e-01   -2.344e-02
    4       4.000s     5.842e-01     5.722e-01   -1.196e-02
    5       5.000s     4.727e-01     4.726e-01   -1.079e-04
    6       6.000s     3.842e-01     3.914e-01    7.176e-03
    7       7.000s     3.152e-01     3.251e-01    9.956e-03
    8       8.000s     2.615e-01     2.711e-01    9.574e-03
    9       9.000s     2.196e-01     2.270e-01    7.426e-03
   10      10.000s     1.863e-01     1.911e-01    4.826e-03
   11      11.000s     1.591e-01     1.618e-01    2.688e-03
   12      12.000s     1.367e-01     1.379e-01    1.246e-03
   13      13.000s     1.181e-01     1.184e-01    3.006e-04
   14      14.000s     1.028e-01     1.025e-01   -3.194e-04
   15      15.000s     9.020e-02     8.954e-02   -6.605e-04
   16      16.000s     7.976e-02     7.897e-02   -7.925e-04
   17      17.000s     7.115e-02     7.035e-02   -8.047e-04
   18      18.000s     6.403e-02     6.331e-02   -7.116e-04
   19      19.000s     5.808e-02     5.758e-02   -5.059e-04
   20      20.000s     5.316e-02     5.290e-02   -2.597e-04
   21      21.000s     4.916e-02     4.909e-02   -7.302e-05
   22      22.000s     4.594e-02     4.597e-02    3.147e-05
   23      23.000s     4.335e-02     4.344e-02    8.618e-05
   24      24.000s     4.127e-02     4.137e-02    9.353e-05
   25      25.000s     3.968e-02     3.968e-02   -9.384e-08
   26      26.000s     3.860e-02     3.830e-02   -2.981e-04
   27      27.000s     3.811e-02     3.718e-02   -9.294e-04
   28      28.000s     3.824e-02     3.627e-02   -1.972e-03
   29      29.000s     3.894e-02     3.552e-02   -3.425e-03
   30      30.000s     4.024e-02     3.491e-02   -5.332e-03

============================================================

