SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/205/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 336 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.187e+00     1.238e-01  
T     =       3.540s       27.127s  

RSS   =    1.402e-03
SD    =    6.836e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.014e+00    1.392e-02
    2       2.000s     8.086e-01     7.895e-01   -1.915e-02
    3       3.000s     6.314e-01     6.193e-01   -1.204e-02
    4       4.000s     4.893e-01     4.902e-01    8.497e-04
    5       5.000s     3.823e-01     3.920e-01    9.670e-03
    6       6.000s     3.044e-01     3.171e-01    1.270e-02
    7       7.000s     2.502e-01     2.599e-01    9.725e-03
    8       8.000s     2.124e-01     2.160e-01    3.652e-03
    9       9.000s     1.835e-01     1.822e-01   -1.325e-03
   10      10.000s     1.602e-01     1.560e-01   -4.186e-03
   11      11.000s     1.419e-01     1.356e-01   -6.316e-03
   12      12.000s     1.272e-01     1.195e-01   -7.629e-03
   13      13.000s     1.137e-01     1.068e-01   -6.852e-03
   14      14.000s     1.012e-01     9.662e-02   -4.551e-03
   15      15.000s     9.099e-02     8.835e-02   -2.639e-03
   16      16.000s     8.298e-02     8.155e-02   -1.428e-03
   17      17.000s     7.572e-02     7.589e-02    1.619e-04
   18      18.000s     6.905e-02     7.109e-02    2.048e-03
   19      19.000s     6.388e-02     6.698e-02    3.095e-03
   20      20.000s     6.009e-02     6.339e-02    3.300e-03
   21      21.000s     5.659e-02     6.022e-02    3.628e-03
   22      22.000s     5.335e-02     5.738e-02    4.027e-03
   23      23.000s     5.117e-02     5.480e-02    3.634e-03
   24      24.000s     4.980e-02     5.244e-02    2.645e-03
   25      25.000s     4.821e-02     5.026e-02    2.051e-03
   26      26.000s     4.649e-02     4.823e-02    1.744e-03
   27      27.000s     4.567e-02     4.632e-02    6.537e-04
   28      28.000s     4.594e-02     4.453e-02   -1.417e-03
   29      29.000s     4.659e-02     4.282e-02   -3.766e-03
   30      30.000s     4.758e-02     4.120e-02   -6.373e-03

============================================================

