SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/143/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 1758 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.869e+01    -1.750e+01  
T     =      13.514s       13.936s  

RSS   =    4.454e-02
SD    =    3.853e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.066e+00    6.602e-02
    2       2.000s     9.161e-01     9.560e-01    3.988e-02
    3       3.000s     8.487e-01     8.562e-01    7.495e-03
    4       4.000s     7.947e-01     7.657e-01   -2.900e-02
    5       5.000s     7.437e-01     6.837e-01   -6.001e-02
    6       6.000s     6.844e-01     6.094e-01   -7.492e-02
    7       7.000s     6.118e-01     5.423e-01   -6.953e-02
    8       8.000s     5.308e-01     4.815e-01   -4.935e-02
    9       9.000s     4.510e-01     4.266e-01   -2.444e-02
   10      10.000s     3.787e-01     3.770e-01   -1.640e-03
   11      11.000s     3.152e-01     3.323e-01    1.715e-02
   12      12.000s     2.606e-01     2.921e-01    3.145e-02
   13      13.000s     2.153e-01     2.558e-01    4.049e-02
   14      14.000s     1.785e-01     2.232e-01    4.466e-02
   15      15.000s     1.483e-01     1.939e-01    4.563e-02
   16      16.000s     1.233e-01     1.676e-01    4.438e-02
   17      17.000s     1.033e-01     1.441e-01    4.076e-02
   18      18.000s     8.796e-02     1.231e-01    3.509e-02
   19      19.000s     7.574e-02     1.042e-01    2.850e-02
   20      20.000s     6.588e-02     8.747e-02    2.159e-02
   21      21.000s     5.842e-02     7.254e-02    1.413e-02
   22      22.000s     5.302e-02     5.928e-02    6.267e-03
   23      23.000s     4.876e-02     4.753e-02   -1.231e-03
   24      24.000s     4.531e-02     3.713e-02   -8.184e-03
   25      25.000s     4.318e-02     2.796e-02   -1.522e-02
   26      26.000s     4.251e-02     1.990e-02   -2.261e-02
   27      27.000s     4.272e-02     1.283e-02   -2.989e-02
   28      28.000s     4.326e-02     6.656e-03   -3.661e-02
   29      29.000s     4.410e-02     1.287e-03   -4.281e-02
   30      30.000s     4.521e-02    -3.360e-03   -4.857e-02

============================================================

