SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/314/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.163e+00     5.265e-02  
T     =       5.383s    536279957379498.438s  

RSS   =    1.101e-03
SD    =    6.058e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.019e+00    1.875e-02
    2       2.000s     8.726e-01     8.550e-01   -1.766e-02
    3       3.000s     7.346e-01     7.190e-01   -1.560e-02
    4       4.000s     6.082e-01     6.060e-01   -2.244e-03
    5       5.000s     5.064e-01     5.122e-01    5.755e-03
    6       6.000s     4.276e-01     4.343e-01    6.715e-03
    7       7.000s     3.644e-01     3.696e-01    5.240e-03
    8       8.000s     3.122e-01     3.159e-01    3.617e-03
    9       9.000s     2.696e-01     2.712e-01    1.612e-03
   10      10.000s     2.345e-01     2.342e-01   -3.520e-04
   11      11.000s     2.047e-01     2.034e-01   -1.251e-03
   12      12.000s     1.791e-01     1.779e-01   -1.259e-03
   13      13.000s     1.579e-01     1.566e-01   -1.271e-03
   14      14.000s     1.403e-01     1.390e-01   -1.293e-03
   15      15.000s     1.251e-01     1.244e-01   -7.291e-04
   16      16.000s     1.120e-01     1.122e-01    2.482e-04
   17      17.000s     1.012e-01     1.021e-01    8.844e-04
   18      18.000s     9.268e-02     9.372e-02    1.041e-03
   19      19.000s     8.559e-02     8.676e-02    1.171e-03
   20      20.000s     7.961e-02     8.098e-02    1.368e-03
   21      21.000s     7.483e-02     7.618e-02    1.344e-03
   22      22.000s     7.102e-02     7.219e-02    1.166e-03
   23      23.000s     6.770e-02     6.887e-02    1.180e-03
   24      24.000s     6.483e-02     6.612e-02    1.298e-03
   25      25.000s     6.276e-02     6.384e-02    1.083e-03
   26      26.000s     6.151e-02     6.194e-02    4.303e-04
   27      27.000s     6.081e-02     6.037e-02   -4.420e-04
   28      28.000s     6.067e-02     5.906e-02   -1.608e-03
   29      29.000s     6.138e-02     5.797e-02   -3.408e-03
   30      30.000s     6.285e-02     5.707e-02   -5.779e-03

============================================================

