SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/297/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.225e+00     6.761e-03  
T     =       6.148s    13300897073449.189s  

RSS   =    9.763e-03
SD    =    1.804e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.048e+00    4.819e-02
    2       2.000s     8.911e-01     8.919e-01    7.288e-04
    3       3.000s     7.868e-01     7.590e-01   -2.777e-02
    4       4.000s     6.835e-01     6.461e-01   -3.742e-02
    5       5.000s     5.819e-01     5.501e-01   -3.182e-02
    6       6.000s     4.883e-01     4.686e-01   -1.971e-02
    7       7.000s     4.070e-01     3.992e-01   -7.767e-03
    8       8.000s     3.381e-01     3.403e-01    2.250e-03
    9       9.000s     2.801e-01     2.903e-01    1.016e-02
   10      10.000s     2.323e-01     2.477e-01    1.538e-02
   11      11.000s     1.935e-01     2.115e-01    1.808e-02
   12      12.000s     1.614e-01     1.808e-01    1.936e-02
   13      13.000s     1.351e-01     1.547e-01    1.961e-02
   14      14.000s     1.140e-01     1.325e-01    1.847e-02
   15      15.000s     9.731e-02     1.136e-01    1.629e-02
   16      16.000s     8.353e-02     9.756e-02    1.403e-02
   17      17.000s     7.208e-02     8.393e-02    1.185e-02
   18      18.000s     6.317e-02     7.235e-02    9.177e-03
   19      19.000s     5.638e-02     6.250e-02    6.122e-03
   20      20.000s     5.065e-02     5.413e-02    3.488e-03
   21      21.000s     4.559e-02     4.702e-02    1.435e-03
   22      22.000s     4.162e-02     4.098e-02   -6.411e-04
   23      23.000s     3.876e-02     3.584e-02   -2.915e-03
   24      24.000s     3.643e-02     3.148e-02   -4.954e-03
   25      25.000s     3.453e-02     2.777e-02   -6.765e-03
   26      26.000s     3.357e-02     2.461e-02   -8.954e-03
   27      27.000s     3.369e-02     2.193e-02   -1.175e-02
   28      28.000s     3.444e-02     1.966e-02   -1.478e-02
   29      29.000s     3.563e-02     1.772e-02   -1.791e-02
   30      30.000s     3.753e-02     1.608e-02   -2.145e-02

============================================================

