SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/140/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 119 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.234e+00    -3.010e-02  
T     =       8.276s      124.494s  

RSS   =    3.360e-02
SD    =    3.346e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.063e+00    6.345e-02
    2       2.000s     9.100e-01     9.392e-01    2.922e-02
    3       3.000s     8.364e-01     8.292e-01   -7.201e-03
    4       4.000s     7.702e-01     7.317e-01   -3.846e-02
    5       5.000s     7.039e-01     6.453e-01   -5.855e-02
    6       6.000s     6.340e-01     5.688e-01   -6.513e-02
    7       7.000s     5.576e-01     5.011e-01   -5.659e-02
    8       8.000s     4.760e-01     4.410e-01   -3.503e-02
    9       9.000s     3.964e-01     3.878e-01   -8.607e-03
   10      10.000s     3.266e-01     3.407e-01    1.415e-02
   11      11.000s     2.688e-01     2.990e-01    3.020e-02
   12      12.000s     2.218e-01     2.621e-01    4.023e-02
   13      13.000s     1.849e-01     2.293e-01    4.446e-02
   14      14.000s     1.571e-01     2.004e-01    4.321e-02
   15      15.000s     1.359e-01     1.747e-01    3.885e-02
   16      16.000s     1.181e-01     1.520e-01    3.393e-02
   17      17.000s     1.033e-01     1.319e-01    2.861e-02
   18      18.000s     9.187e-02     1.141e-01    2.224e-02
   19      19.000s     8.261e-02     9.836e-02    1.576e-02
   20      20.000s     7.393e-02     8.443e-02    1.050e-02
   21      21.000s     6.610e-02     7.211e-02    6.013e-03
   22      22.000s     6.011e-02     6.121e-02    1.105e-03
   23      23.000s     5.561e-02     5.158e-02   -4.032e-03
   24      24.000s     5.160e-02     4.306e-02   -8.539e-03
   25      25.000s     4.823e-02     3.553e-02   -1.270e-02
   26      26.000s     4.620e-02     2.888e-02   -1.732e-02
   27      27.000s     4.523e-02     2.301e-02   -2.222e-02
   28      28.000s     4.460e-02     1.782e-02   -2.677e-02
   29      29.000s     4.454e-02     1.325e-02   -3.129e-02
   30      30.000s     4.565e-02     9.220e-03   -3.643e-02

============================================================

