SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/109/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 441 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.272e+00     3.944e-02  
T     =       4.138s     2851.160s  

RSS   =    6.135e-03
SD    =    1.430e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.038e+00    3.812e-02
    2       2.000s     8.585e-01     8.237e-01   -3.472e-02
    3       3.000s     6.914e-01     6.554e-01   -3.610e-02
    4       4.000s     5.369e-01     5.231e-01   -1.376e-02
    5       5.000s     4.121e-01     4.193e-01    7.209e-03
    6       6.000s     3.179e-01     3.377e-01    1.978e-02
    7       7.000s     2.503e-01     2.736e-01    2.338e-02
    8       8.000s     2.038e-01     2.233e-01    1.952e-02
    9       9.000s     1.717e-01     1.838e-01    1.212e-02
   10      10.000s     1.476e-01     1.528e-01    5.142e-03
   11      11.000s     1.288e-01     1.284e-01   -3.418e-04
   12      12.000s     1.142e-01     1.093e-01   -4.958e-03
   13      13.000s     1.025e-01     9.423e-02   -8.307e-03
   14      14.000s     9.184e-02     8.241e-02   -9.426e-03
   15      15.000s     8.190e-02     7.313e-02   -8.765e-03
   16      16.000s     7.350e-02     6.584e-02   -7.655e-03
   17      17.000s     6.659e-02     6.011e-02   -6.476e-03
   18      18.000s     6.050e-02     5.561e-02   -4.891e-03
   19      19.000s     5.530e-02     5.207e-02   -3.231e-03
   20      20.000s     5.143e-02     4.929e-02   -2.137e-03
   21      21.000s     4.845e-02     4.710e-02   -1.350e-03
   22      22.000s     4.556e-02     4.538e-02   -1.803e-04
   23      23.000s     4.283e-02     4.403e-02    1.201e-03
   24      24.000s     4.089e-02     4.296e-02    2.070e-03
   25      25.000s     3.975e-02     4.212e-02    2.373e-03
   26      26.000s     3.885e-02     4.146e-02    2.606e-03
   27      27.000s     3.813e-02     4.093e-02    2.798e-03
   28      28.000s     3.793e-02     4.052e-02    2.590e-03
   29      29.000s     3.817e-02     4.019e-02    2.023e-03
   30      30.000s     3.856e-02     3.993e-02    1.365e-03

============================================================

