SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/236/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.163e+00     4.549e-02  
T     =       5.996s    247863345971020.250s  

RSS   =    2.380e-03
SD    =    8.907e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.030e+00    2.987e-02
    2       2.000s     8.911e-01     8.787e-01   -1.239e-02
    3       3.000s     7.740e-01     7.507e-01   -2.327e-02
    4       4.000s     6.604e-01     6.424e-01   -1.805e-02
    5       5.000s     5.585e-01     5.507e-01   -7.806e-03
    6       6.000s     4.719e-01     4.731e-01    1.211e-03
    7       7.000s     4.005e-01     4.074e-01    6.874e-03
    8       8.000s     3.425e-01     3.518e-01    9.339e-03
    9       9.000s     2.953e-01     3.048e-01    9.409e-03
   10      10.000s     2.570e-01     2.649e-01    7.955e-03
   11      11.000s     2.253e-01     2.312e-01    5.901e-03
   12      12.000s     1.987e-01     2.027e-01    3.988e-03
   13      13.000s     1.760e-01     1.785e-01    2.497e-03
   14      14.000s     1.567e-01     1.581e-01    1.361e-03
   15      15.000s     1.403e-01     1.408e-01    5.071e-04
   16      16.000s     1.262e-01     1.262e-01   -7.080e-05
   17      17.000s     1.142e-01     1.138e-01   -4.142e-04
   18      18.000s     1.039e-01     1.033e-01   -5.679e-04
   19      19.000s     9.491e-02     9.441e-02   -5.083e-04
   20      20.000s     8.715e-02     8.689e-02   -2.538e-04
   21      21.000s     8.051e-02     8.053e-02    2.520e-05
   22      22.000s     7.501e-02     7.515e-02    1.358e-04
   23      23.000s     7.055e-02     7.059e-02    4.398e-05
   24      24.000s     6.692e-02     6.674e-02   -1.868e-04
   25      25.000s     6.402e-02     6.347e-02   -5.514e-04
   26      26.000s     6.180e-02     6.071e-02   -1.091e-03
   27      27.000s     6.018e-02     5.837e-02   -1.810e-03
   28      28.000s     5.913e-02     5.639e-02   -2.737e-03
   29      29.000s     5.867e-02     5.472e-02   -3.955e-03
   30      30.000s     5.875e-02     5.330e-02   -5.450e-03

============================================================

