SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/88/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 118 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.203e+00     5.654e-02  
T     =       4.851s      196.081s  

RSS   =    4.310e-03
SD    =    1.199e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.035e+00    3.523e-02
    2       2.000s     8.819e-01     8.526e-01   -2.932e-02
    3       3.000s     7.375e-01     7.039e-01   -3.362e-02
    4       4.000s     5.941e-01     5.829e-01   -1.125e-02
    5       5.000s     4.767e-01     4.843e-01    7.633e-03
    6       6.000s     3.896e-01     4.041e-01    1.448e-02
    7       7.000s     3.236e-01     3.387e-01    1.515e-02
    8       8.000s     2.718e-01     2.855e-01    1.376e-02
    9       9.000s     2.324e-01     2.422e-01    9.728e-03
   10      10.000s     2.028e-01     2.068e-01    4.056e-03
   11      11.000s     1.782e-01     1.780e-01   -1.650e-04
   12      12.000s     1.569e-01     1.546e-01   -2.298e-03
   13      13.000s     1.395e-01     1.354e-01   -4.076e-03
   14      14.000s     1.255e-01     1.198e-01   -5.678e-03
   15      15.000s     1.127e-01     1.070e-01   -5.696e-03
   16      16.000s     1.009e-01     9.656e-02   -4.307e-03
   17      17.000s     9.121e-02     8.801e-02   -3.201e-03
   18      18.000s     8.376e-02     8.101e-02   -2.751e-03
   19      19.000s     7.720e-02     7.527e-02   -1.937e-03
   20      20.000s     7.122e-02     7.054e-02   -6.734e-04
   21      21.000s     6.652e-02     6.665e-02    1.301e-04
   22      22.000s     6.297e-02     6.344e-02    4.762e-04
   23      23.000s     5.963e-02     6.078e-02    1.156e-03
   24      24.000s     5.655e-02     5.857e-02    2.015e-03
   25      25.000s     5.456e-02     5.672e-02    2.168e-03
   26      26.000s     5.355e-02     5.517e-02    1.628e-03
   27      27.000s     5.279e-02     5.387e-02    1.083e-03
   28      28.000s     5.237e-02     5.276e-02    3.897e-04
   29      29.000s     5.297e-02     5.181e-02   -1.156e-03
   30      30.000s     5.436e-02     5.100e-02   -3.364e-03

============================================================

