SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/259/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.161e+00     5.483e-03  
T     =       7.660s    310927450083565.688s  

RSS   =    2.708e-03
SD    =    9.501e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.024e+00    2.403e-02
    2       2.000s     8.986e-01     8.994e-01    8.126e-04
    3       3.000s     7.981e-01     7.900e-01   -8.089e-03
    4       4.000s     7.049e-01     6.940e-01   -1.095e-02
    5       5.000s     6.226e-01     6.097e-01   -1.286e-02
    6       6.000s     5.503e-01     5.358e-01   -1.456e-02
    7       7.000s     4.842e-01     4.709e-01   -1.332e-02
    8       8.000s     4.219e-01     4.139e-01   -7.989e-03
    9       9.000s     3.652e-01     3.639e-01   -1.240e-03
   10      10.000s     3.163e-01     3.201e-01    3.798e-03
   11      11.000s     2.748e-01     2.816e-01    6.747e-03
   12      12.000s     2.391e-01     2.478e-01    8.669e-03
   13      13.000s     2.084e-01     2.181e-01    9.723e-03
   14      14.000s     1.825e-01     1.921e-01    9.631e-03
   15      15.000s     1.603e-01     1.693e-01    8.966e-03
   16      16.000s     1.407e-01     1.492e-01    8.529e-03
   17      17.000s     1.234e-01     1.316e-01    8.251e-03
   18      18.000s     1.085e-01     1.162e-01    7.715e-03
   19      19.000s     9.560e-02     1.026e-01    7.036e-03
   20      20.000s     8.434e-02     9.074e-02    6.403e-03
   21      21.000s     7.488e-02     8.031e-02    5.428e-03
   22      22.000s     6.741e-02     7.115e-02    3.742e-03
   23      23.000s     6.143e-02     6.311e-02    1.685e-03
   24      24.000s     5.631e-02     5.606e-02   -2.525e-04
   25      25.000s     5.205e-02     4.987e-02   -2.181e-03
   26      26.000s     4.888e-02     4.444e-02   -4.440e-03
   27      27.000s     4.664e-02     3.967e-02   -6.966e-03
   28      28.000s     4.507e-02     3.549e-02   -9.584e-03
   29      29.000s     4.436e-02     3.181e-02   -1.254e-02
   30      30.000s     4.478e-02     2.859e-02   -1.619e-02

============================================================

