SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/267/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 311 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.239e+00     5.425e-02  
T     =       4.237s       95.086s  

RSS   =    4.489e-03
SD    =    1.223e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.032e+00    3.236e-02
    2       2.000s     8.573e-01     8.260e-01   -3.124e-02
    3       3.000s     6.940e-01     6.630e-01   -3.101e-02
    4       4.000s     5.434e-01     5.341e-01   -9.315e-03
    5       5.000s     4.226e-01     4.322e-01    9.615e-03
    6       6.000s     3.331e-01     3.516e-01    1.849e-02
    7       7.000s     2.691e-01     2.879e-01    1.879e-02
    8       8.000s     2.231e-01     2.374e-01    1.433e-02
    9       9.000s     1.891e-01     1.975e-01    8.375e-03
   10      10.000s     1.632e-01     1.658e-01    2.643e-03
   11      11.000s     1.429e-01     1.407e-01   -2.226e-03
   12      12.000s     1.265e-01     1.208e-01   -5.770e-03
   13      13.000s     1.125e-01     1.049e-01   -7.600e-03
   14      14.000s     1.002e-01     9.233e-02   -7.918e-03
   15      15.000s     8.966e-02     8.227e-02   -7.393e-03
   16      16.000s     8.067e-02     7.423e-02   -6.439e-03
   17      17.000s     7.289e-02     6.778e-02   -5.108e-03
   18      18.000s     6.618e-02     6.260e-02   -3.586e-03
   19      19.000s     6.061e-02     5.840e-02   -2.205e-03
   20      20.000s     5.599e-02     5.500e-02   -9.890e-04
   21      21.000s     5.193e-02     5.222e-02    2.846e-04
   22      22.000s     4.837e-02     4.993e-02    1.559e-03
   23      23.000s     4.555e-02     4.803e-02    2.486e-03
   24      24.000s     4.351e-02     4.644e-02    2.936e-03
   25      25.000s     4.201e-02     4.510e-02    3.090e-03
   26      26.000s     4.093e-02     4.395e-02    3.015e-03
   27      27.000s     4.041e-02     4.295e-02    2.547e-03
   28      28.000s     4.048e-02     4.208e-02    1.601e-03
   29      29.000s     4.106e-02     4.131e-02    2.440e-04
   30      30.000s     4.212e-02     4.061e-02   -1.510e-03

============================================================

