SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/114/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.261e+00     2.137e-02  
T     =       4.972s    554838093514108.312s  

RSS   =    9.906e-03
SD    =    1.817e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.053e+00    5.260e-02
    2       2.000s     8.824e-01     8.647e-01   -1.765e-02
    3       3.000s     7.551e-01     7.111e-01   -4.398e-02
    4       4.000s     6.270e-01     5.854e-01   -4.158e-02
    5       5.000s     5.047e-01     4.827e-01   -2.200e-02
    6       6.000s     3.973e-01     3.986e-01    1.361e-03
    7       7.000s     3.123e-01     3.299e-01    1.761e-02
    8       8.000s     2.497e-01     2.737e-01    2.405e-02
    9       9.000s     2.035e-01     2.277e-01    2.419e-02
   10      10.000s     1.687e-01     1.901e-01    2.142e-02
   11      11.000s     1.425e-01     1.594e-01    1.687e-02
   12      12.000s     1.228e-01     1.343e-01    1.149e-02
   13      13.000s     1.068e-01     1.137e-01    6.894e-03
   14      14.000s     9.318e-02     9.687e-02    3.686e-03
   15      15.000s     8.186e-02     8.312e-02    1.256e-03
   16      16.000s     7.257e-02     7.187e-02   -7.042e-04
   17      17.000s     6.449e-02     6.267e-02   -1.822e-03
   18      18.000s     5.734e-02     5.515e-02   -2.191e-03
   19      19.000s     5.150e-02     4.899e-02   -2.507e-03
   20      20.000s     4.692e-02     4.396e-02   -2.959e-03
   21      21.000s     4.296e-02     3.985e-02   -3.110e-03
   22      22.000s     3.944e-02     3.648e-02   -2.957e-03
   23      23.000s     3.679e-02     3.373e-02   -3.065e-03
   24      24.000s     3.503e-02     3.148e-02   -3.554e-03
   25      25.000s     3.355e-02     2.964e-02   -3.916e-03
   26      26.000s     3.215e-02     2.813e-02   -4.014e-03
   27      27.000s     3.129e-02     2.690e-02   -4.388e-03
   28      28.000s     3.131e-02     2.589e-02   -5.417e-03
   29      29.000s     3.198e-02     2.507e-02   -6.912e-03
   30      30.000s     3.309e-02     2.440e-02   -8.690e-03

============================================================

