SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl6/data/BR1_BIF_5_noesypr1d/41/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.221e+00     2.892e-02  
T     =       5.459s    225368747274101.062s  

RSS   =    6.316e-03
SD    =    1.451e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.046e+00    4.552e-02
    2       2.000s     8.915e-01     8.754e-01   -1.613e-02
    3       3.000s     7.709e-01     7.337e-01   -3.721e-02
    4       4.000s     6.473e-01     6.157e-01   -3.159e-02
    5       5.000s     5.326e-01     5.175e-01   -1.511e-02
    6       6.000s     4.348e-01     4.357e-01    9.016e-04
    7       7.000s     3.561e-01     3.676e-01    1.154e-02
    8       8.000s     2.946e-01     3.110e-01    1.636e-02
    9       9.000s     2.468e-01     2.638e-01    1.691e-02
   10      10.000s     2.094e-01     2.244e-01    1.509e-02
   11      11.000s     1.795e-01     1.917e-01    1.217e-02
   12      12.000s     1.557e-01     1.645e-01    8.796e-03
   13      13.000s     1.363e-01     1.418e-01    5.482e-03
   14      14.000s     1.201e-01     1.229e-01    2.800e-03
   15      15.000s     1.062e-01     1.072e-01    1.006e-03
   16      16.000s     9.412e-02     9.407e-02   -5.487e-05
   17      17.000s     8.376e-02     8.317e-02   -5.935e-04
   18      18.000s     7.482e-02     7.409e-02   -7.333e-04
   19      19.000s     6.725e-02     6.653e-02   -7.216e-04
   20      20.000s     6.109e-02     6.023e-02   -8.602e-04
   21      21.000s     5.612e-02     5.499e-02   -1.132e-03
   22      22.000s     5.188e-02     5.063e-02   -1.246e-03
   23      23.000s     4.814e-02     4.700e-02   -1.148e-03
   24      24.000s     4.514e-02     4.397e-02   -1.166e-03
   25      25.000s     4.302e-02     4.145e-02   -1.572e-03
   26      26.000s     4.168e-02     3.935e-02   -2.328e-03
   27      27.000s     4.100e-02     3.761e-02   -3.388e-03
   28      28.000s     4.108e-02     3.615e-02   -4.927e-03
   29      29.000s     4.201e-02     3.494e-02   -7.068e-03
   30      30.000s     4.353e-02     3.394e-02   -9.595e-03

============================================================

