SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/347/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 220 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.180e+00     1.063e-01  
T     =       3.904s       34.402s  

RSS   =    1.430e-03
SD    =    6.903e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.017e+00    1.652e-02
    2       2.000s     8.274e-01     8.072e-01   -2.019e-02
    3       3.000s     6.580e-01     6.446e-01   -1.344e-02
    4       4.000s     5.194e-01     5.181e-01   -1.268e-03
    5       5.000s     4.133e-01     4.197e-01    6.414e-03
    6       6.000s     3.325e-01     3.430e-01    1.055e-02
    7       7.000s     2.722e-01     2.831e-01    1.094e-02
    8       8.000s     2.288e-01     2.362e-01    7.460e-03
    9       9.000s     1.969e-01     1.995e-01    2.627e-03
   10      10.000s     1.717e-01     1.705e-01   -1.123e-03
   11      11.000s     1.515e-01     1.477e-01   -3.831e-03
   12      12.000s     1.355e-01     1.295e-01   -5.976e-03
   13      13.000s     1.218e-01     1.151e-01   -6.729e-03
   14      14.000s     1.091e-01     1.034e-01   -5.665e-03
   15      15.000s     9.806e-02     9.403e-02   -4.037e-03
   16      16.000s     8.931e-02     8.634e-02   -2.973e-03
   17      17.000s     8.202e-02     8.000e-02   -2.017e-03
   18      18.000s     7.524e-02     7.472e-02   -5.251e-04
   19      19.000s     6.931e-02     7.026e-02    9.528e-04
   20      20.000s     6.474e-02     6.646e-02    1.722e-03
   21      21.000s     6.103e-02     6.317e-02    2.133e-03
   22      22.000s     5.755e-02     6.028e-02    2.735e-03
   23      23.000s     5.450e-02     5.773e-02    3.231e-03
   24      24.000s     5.227e-02     5.543e-02    3.158e-03
   25      25.000s     5.062e-02     5.334e-02    2.728e-03
   26      26.000s     4.921e-02     5.143e-02    2.221e-03
   27      27.000s     4.834e-02     4.966e-02    1.321e-03
   28      28.000s     4.827e-02     4.800e-02   -2.690e-04
   29      29.000s     4.869e-02     4.645e-02   -2.241e-03
   30      30.000s     4.929e-02     4.498e-02   -4.310e-03

============================================================

