SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/232/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 140 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.222e+00     4.677e-02  
T     =       4.703s      322.076s  

RSS   =    4.458e-03
SD    =    1.219e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.035e+00    3.471e-02
    2       2.000s     8.689e-01     8.453e-01   -2.357e-02
    3       3.000s     7.261e-01     6.921e-01   -3.392e-02
    4       4.000s     5.869e-01     5.683e-01   -1.860e-02
    5       5.000s     4.667e-01     4.681e-01    1.447e-03
    6       6.000s     3.732e-01     3.872e-01    1.398e-02
    7       7.000s     3.038e-01     3.216e-01    1.784e-02
    8       8.000s     2.519e-01     2.687e-01    1.674e-02
    9       9.000s     2.128e-01     2.258e-01    1.304e-02
   10      10.000s     1.834e-01     1.911e-01    7.735e-03
   11      11.000s     1.606e-01     1.631e-01    2.408e-03
   12      12.000s     1.417e-01     1.403e-01   -1.391e-03
   13      13.000s     1.256e-01     1.219e-01   -3.630e-03
   14      14.000s     1.121e-01     1.071e-01   -5.057e-03
   15      15.000s     1.008e-01     9.499e-02   -5.766e-03
   16      16.000s     9.074e-02     8.521e-02   -5.535e-03
   17      17.000s     8.199e-02     7.727e-02   -4.722e-03
   18      18.000s     7.470e-02     7.083e-02   -3.873e-03
   19      19.000s     6.860e-02     6.560e-02   -2.997e-03
   20      20.000s     6.329e-02     6.134e-02   -1.952e-03
   21      21.000s     5.886e-02     5.788e-02   -9.860e-04
   22      22.000s     5.535e-02     5.505e-02   -3.026e-04
   23      23.000s     5.238e-02     5.274e-02    3.592e-04
   24      24.000s     4.968e-02     5.084e-02    1.160e-03
   25      25.000s     4.758e-02     4.928e-02    1.707e-03
   26      26.000s     4.635e-02     4.800e-02    1.651e-03
   27      27.000s     4.573e-02     4.694e-02    1.205e-03
   28      28.000s     4.544e-02     4.605e-02    6.127e-04
   29      29.000s     4.572e-02     4.531e-02   -4.092e-04
   30      30.000s     4.687e-02     4.469e-02   -2.185e-03

============================================================

