SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/326/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 117 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.218e+00     6.036e-02  
T     =       4.463s      104.643s  

RSS   =    4.160e-03
SD    =    1.178e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.033e+00    3.291e-02
    2       2.000s     8.596e-01     8.370e-01   -2.264e-02
    3       3.000s     7.112e-01     6.803e-01   -3.090e-02
    4       4.000s     5.739e-01     5.549e-01   -1.899e-02
    5       5.000s     4.559e-01     4.546e-01   -1.223e-03
    6       6.000s     3.615e-01     3.744e-01    1.292e-02
    7       7.000s     2.916e-01     3.101e-01    1.856e-02
    8       8.000s     2.414e-01     2.587e-01    1.729e-02
    9       9.000s     2.040e-01     2.174e-01    1.339e-02
   10      10.000s     1.756e-01     1.844e-01    8.734e-03
   11      11.000s     1.544e-01     1.579e-01    3.439e-03
   12      12.000s     1.379e-01     1.366e-01   -1.335e-03
   13      13.000s     1.235e-01     1.194e-01   -4.071e-03
   14      14.000s     1.107e-01     1.057e-01   -5.051e-03
   15      15.000s     1.000e-01     9.454e-02   -5.499e-03
   16      16.000s     9.108e-02     8.557e-02   -5.510e-03
   17      17.000s     8.289e-02     7.830e-02   -4.590e-03
   18      18.000s     7.563e-02     7.239e-02   -3.237e-03
   19      19.000s     6.990e-02     6.758e-02   -2.327e-03
   20      20.000s     6.532e-02     6.364e-02   -1.676e-03
   21      21.000s     6.107e-02     6.040e-02   -6.678e-04
   22      22.000s     5.732e-02     5.772e-02    4.022e-04
   23      23.000s     5.461e-02     5.549e-02    8.751e-04
   24      24.000s     5.266e-02     5.361e-02    9.555e-04
   25      25.000s     5.084e-02     5.203e-02    1.186e-03
   26      26.000s     4.938e-02     5.067e-02    1.297e-03
   27      27.000s     4.883e-02     4.951e-02    6.772e-04
   28      28.000s     4.906e-02     4.849e-02   -5.719e-04
   29      29.000s     4.962e-02     4.759e-02   -2.032e-03
   30      30.000s     5.063e-02     4.678e-02   -3.843e-03

============================================================

