SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/109/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 381 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.210e+00     3.533e-02  
T     =       4.733s     1420.877s  

RSS   =    1.029e-03
SD    =    5.855e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.015e+00    1.493e-02
    2       2.000s     8.436e-01     8.283e-01   -1.533e-02
    3       3.000s     6.918e-01     6.772e-01   -1.454e-02
    4       4.000s     5.577e-01     5.549e-01   -2.737e-03
    5       5.000s     4.494e-01     4.559e-01    6.550e-03
    6       6.000s     3.666e-01     3.758e-01    9.191e-03
    7       7.000s     3.029e-01     3.109e-01    8.005e-03
    8       8.000s     2.526e-01     2.583e-01    5.734e-03
    9       9.000s     2.132e-01     2.158e-01    2.574e-03
   10      10.000s     1.823e-01     1.814e-01   -9.311e-04
   11      11.000s     1.565e-01     1.535e-01   -3.012e-03
   12      12.000s     1.342e-01     1.309e-01   -3.292e-03
   13      13.000s     1.159e-01     1.126e-01   -3.268e-03
   14      14.000s     1.014e-01     9.780e-02   -3.614e-03
   15      15.000s     8.923e-02     8.581e-02   -3.410e-03
   16      16.000s     7.848e-02     7.610e-02   -2.372e-03
   17      17.000s     6.979e-02     6.824e-02   -1.546e-03
   18      18.000s     6.317e-02     6.187e-02   -1.301e-03
   19      19.000s     5.741e-02     5.670e-02   -7.045e-04
   20      20.000s     5.197e-02     5.252e-02    5.539e-04
   21      21.000s     4.764e-02     4.913e-02    1.492e-03
   22      22.000s     4.473e-02     4.638e-02    1.646e-03
   23      23.000s     4.231e-02     4.415e-02    1.835e-03
   24      24.000s     3.983e-02     4.234e-02    2.502e-03
   25      25.000s     3.800e-02     4.086e-02    2.862e-03
   26      26.000s     3.733e-02     3.967e-02    2.344e-03
   27      27.000s     3.725e-02     3.870e-02    1.448e-03
   28      28.000s     3.745e-02     3.791e-02    4.539e-04
   29      29.000s     3.866e-02     3.726e-02   -1.401e-03
   30      30.000s     4.140e-02     3.673e-02   -4.664e-03

============================================================

