SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/186/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 331 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.219e+00     8.730e-02  
T     =       3.736s       32.714s  

RSS   =    1.946e-03
SD    =    8.055e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.018e+00    1.779e-02
    2       2.000s     8.193e-01     7.961e-01   -2.313e-02
    3       3.000s     6.419e-01     6.260e-01   -1.589e-02
    4       4.000s     4.943e-01     4.953e-01    9.796e-04
    5       5.000s     3.837e-01     3.948e-01    1.109e-02
    6       6.000s     3.041e-01     3.174e-01    1.331e-02
    7       7.000s     2.470e-01     2.578e-01    1.079e-02
    8       8.000s     2.057e-01     2.117e-01    5.947e-03
    9       9.000s     1.753e-01     1.760e-01    6.395e-04
   10      10.000s     1.518e-01     1.482e-01   -3.563e-03
   11      11.000s     1.327e-01     1.266e-01   -6.110e-03
   12      12.000s     1.169e-01     1.096e-01   -7.261e-03
   13      13.000s     1.035e-01     9.626e-02   -7.202e-03
   14      14.000s     9.170e-02     8.567e-02   -6.033e-03
   15      15.000s     8.148e-02     7.720e-02   -4.275e-03
   16      16.000s     7.296e-02     7.037e-02   -2.584e-03
   17      17.000s     6.590e-02     6.481e-02   -1.095e-03
   18      18.000s     5.983e-02     6.022e-02    3.909e-04
   19      19.000s     5.459e-02     5.638e-02    1.794e-03
   20      20.000s     5.030e-02     5.314e-02    2.847e-03
   21      21.000s     4.678e-02     5.036e-02    3.582e-03
   22      22.000s     4.375e-02     4.794e-02    4.191e-03
   23      23.000s     4.125e-02     4.580e-02    4.553e-03
   24      24.000s     3.952e-02     4.390e-02    4.372e-03
   25      25.000s     3.852e-02     4.217e-02    3.646e-03
   26      26.000s     3.802e-02     4.059e-02    2.567e-03
   27      27.000s     3.808e-02     3.913e-02    1.048e-03
   28      28.000s     3.895e-02     3.777e-02   -1.181e-03
   29      29.000s     4.055e-02     3.650e-02   -4.057e-03
   30      30.000s     4.247e-02     3.529e-02   -7.181e-03

============================================================

