SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/233/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 354 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.132e+00     1.207e-01  
T     =       4.166s       40.266s  

RSS   =    6.751e-04
SD    =    4.744e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.008e+00    8.303e-03
    2       2.000s     8.274e-01     8.154e-01   -1.207e-02
    3       3.000s     6.697e-01     6.630e-01   -6.630e-03
    4       4.000s     5.418e-01     5.427e-01    9.237e-04
    5       5.000s     4.419e-01     4.475e-01    5.642e-03
    6       6.000s     3.644e-01     3.722e-01    7.723e-03
    7       7.000s     3.058e-01     3.124e-01    6.544e-03
    8       8.000s     2.620e-01     2.649e-01    2.824e-03
    9       9.000s     2.279e-01     2.270e-01   -8.777e-04
   10      10.000s     2.000e-01     1.968e-01   -3.167e-03
   11      11.000s     1.772e-01     1.726e-01   -4.639e-03
   12      12.000s     1.587e-01     1.531e-01   -5.609e-03
   13      13.000s     1.427e-01     1.373e-01   -5.384e-03
   14      14.000s     1.285e-01     1.245e-01   -3.950e-03
   15      15.000s     1.164e-01     1.141e-01   -2.374e-03
   16      16.000s     1.066e-01     1.054e-01   -1.178e-03
   17      17.000s     9.811e-02     9.824e-02    1.313e-04
   18      18.000s     9.055e-02     9.222e-02    1.675e-03
   19      19.000s     8.435e-02     8.712e-02    2.769e-03
   20      20.000s     7.959e-02     8.274e-02    3.154e-03
   21      21.000s     7.555e-02     7.896e-02    3.404e-03
   22      22.000s     7.184e-02     7.564e-02    3.794e-03
   23      23.000s     6.884e-02     7.269e-02    3.851e-03
   24      24.000s     6.672e-02     7.005e-02    3.333e-03
   25      25.000s     6.502e-02     6.766e-02    2.643e-03
   26      26.000s     6.358e-02     6.547e-02    1.897e-03
   27      27.000s     6.292e-02     6.345e-02    5.300e-04
   28      28.000s     6.335e-02     6.157e-02   -1.779e-03
   29      29.000s     6.433e-02     5.980e-02   -4.531e-03
   30      30.000s     6.528e-02     5.813e-02   -7.150e-03

============================================================

