SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/71/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.232e+00     2.115e-02  
T     =       5.168s    739272558202358.250s  

RSS   =    3.996e-03
SD    =    1.154e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.036e+00    3.600e-02
    2       2.000s     8.717e-01     8.575e-01   -1.427e-02
    3       3.000s     7.379e-01     7.103e-01   -2.759e-02
    4       4.000s     6.106e-01     5.891e-01   -2.150e-02
    5       5.000s     4.992e-01     4.891e-01   -1.005e-02
    6       6.000s     4.081e-01     4.068e-01   -1.308e-03
    7       7.000s     3.352e-01     3.390e-01    3.753e-03
    8       8.000s     2.758e-01     2.830e-01    7.198e-03
    9       9.000s     2.274e-01     2.370e-01    9.601e-03
   10      10.000s     1.887e-01     1.990e-01    1.031e-02
   11      11.000s     1.579e-01     1.677e-01    9.798e-03
   12      12.000s     1.327e-01     1.419e-01    9.220e-03
   13      13.000s     1.120e-01     1.207e-01    8.645e-03
   14      14.000s     9.572e-02     1.032e-01    7.442e-03
   15      15.000s     8.286e-02     8.873e-02    5.875e-03
   16      16.000s     7.208e-02     7.684e-02    4.767e-03
   17      17.000s     6.297e-02     6.705e-02    4.074e-03
   18      18.000s     5.583e-02     5.897e-02    3.144e-03
   19      19.000s     5.029e-02     5.232e-02    2.023e-03
   20      20.000s     4.552e-02     4.683e-02    1.311e-03
   21      21.000s     4.132e-02     4.232e-02    9.920e-04
   22      22.000s     3.811e-02     3.859e-02    4.853e-04
   23      23.000s     3.589e-02     3.552e-02   -3.626e-04
   24      24.000s     3.426e-02     3.299e-02   -1.267e-03
   25      25.000s     3.323e-02     3.091e-02   -2.320e-03
   26      26.000s     3.317e-02     2.919e-02   -3.979e-03
   27      27.000s     3.410e-02     2.778e-02   -6.322e-03
   28      28.000s     3.563e-02     2.661e-02   -9.019e-03
   29      29.000s     3.753e-02     2.565e-02   -1.187e-02
   30      30.000s     3.965e-02     2.486e-02   -1.479e-02

============================================================

