SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/329/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.225e+00     6.785e-03  
T     =       6.405s    138527690094365.219s  

RSS   =    1.445e-02
SD    =    2.194e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.055e+00    5.482e-02
    2       2.000s     8.978e-01     9.033e-01    5.485e-03
    3       3.000s     7.997e-01     7.737e-01   -2.592e-02
    4       4.000s     7.058e-01     6.629e-01   -4.294e-02
    5       5.000s     6.109e-01     5.680e-01   -4.289e-02
    6       6.000s     5.168e-01     4.869e-01   -2.987e-02
    7       7.000s     4.313e-01     4.175e-01   -1.379e-02
    8       8.000s     3.588e-01     3.581e-01   -6.323e-04
    9       9.000s     2.976e-01     3.074e-01    9.755e-03
   10      10.000s     2.459e-01     2.639e-01    1.799e-02
   11      11.000s     2.039e-01     2.267e-01    2.285e-02
   12      12.000s     1.706e-01     1.949e-01    2.435e-02
   13      13.000s     1.434e-01     1.677e-01    2.435e-02
   14      14.000s     1.208e-01     1.445e-01    2.368e-02
   15      15.000s     1.030e-01     1.246e-01    2.157e-02
   16      16.000s     8.938e-02     1.075e-01    1.817e-02
   17      17.000s     7.808e-02     9.298e-02    1.490e-02
   18      18.000s     6.836e-02     8.052e-02    1.217e-02
   19      19.000s     6.087e-02     6.987e-02    8.998e-03
   20      20.000s     5.549e-02     6.075e-02    5.257e-03
   21      21.000s     5.093e-02     5.295e-02    2.014e-03
   22      22.000s     4.670e-02     4.627e-02   -4.272e-04
   23      23.000s     4.351e-02     4.057e-02   -2.939e-03
   24      24.000s     4.151e-02     3.568e-02   -5.829e-03
   25      25.000s     3.996e-02     3.151e-02   -8.457e-03
   26      26.000s     3.875e-02     2.793e-02   -1.081e-02
   27      27.000s     3.874e-02     2.488e-02   -1.386e-02
   28      28.000s     4.031e-02     2.226e-02   -1.804e-02
   29      29.000s     4.274e-02     2.002e-02   -2.271e-02
   30      30.000s     4.534e-02     1.811e-02   -2.723e-02

============================================================

