SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/141/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.175e+00     3.394e-02  
T     =       6.457s    481143615863429.875s  

RSS   =    4.762e-03
SD    =    1.260e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.040e+00    4.036e-02
    2       2.000s     9.032e-01     8.960e-01   -7.206e-03
    3       3.000s     7.975e-01     7.723e-01   -2.526e-02
    4       4.000s     6.920e-01     6.663e-01   -2.566e-02
    5       5.000s     5.941e-01     5.756e-01   -1.852e-02
    6       6.000s     5.077e-01     4.979e-01   -9.784e-03
    7       7.000s     4.332e-01     4.313e-01   -1.905e-03
    8       8.000s     3.702e-01     3.743e-01    4.098e-03
    9       9.000s     3.176e-01     3.255e-01    7.853e-03
   10      10.000s     2.738e-01     2.836e-01    9.855e-03
   11      11.000s     2.369e-01     2.478e-01    1.091e-02
   12      12.000s     2.058e-01     2.171e-01    1.130e-02
   13      13.000s     1.799e-01     1.908e-01    1.095e-02
   14      14.000s     1.583e-01     1.683e-01    1.006e-02
   15      15.000s     1.401e-01     1.490e-01    8.933e-03
   16      16.000s     1.250e-01     1.325e-01    7.510e-03
   17      17.000s     1.126e-01     1.184e-01    5.744e-03
   18      18.000s     1.022e-01     1.063e-01    4.110e-03
   19      19.000s     9.277e-02     9.589e-02    3.121e-03
   20      20.000s     8.444e-02     8.700e-02    2.570e-03
   21      21.000s     7.756e-02     7.939e-02    1.835e-03
   22      22.000s     7.211e-02     7.287e-02    7.637e-04
   23      23.000s     6.763e-02     6.729e-02   -3.436e-04
   24      24.000s     6.400e-02     6.250e-02   -1.495e-03
   25      25.000s     6.148e-02     5.840e-02   -3.077e-03
   26      26.000s     6.005e-02     5.489e-02   -5.157e-03
   27      27.000s     5.919e-02     5.189e-02   -7.303e-03
   28      28.000s     5.856e-02     4.931e-02   -9.249e-03
   29      29.000s     5.838e-02     4.711e-02   -1.128e-02
   30      30.000s     5.895e-02     4.522e-02   -1.373e-02

============================================================

